material_price_index,steel_price_index,cement_price_index,labor_cost_per_hour,num_workers,equipment_cost_per_day,equipment_count,project_duration_days,project_scope_index,site_area_sqft,location_index,inflation_factor,contingency_buffer,total_construction_cost
99.57,121.85,109.42,373.74,277,16767.63,13,169,9.27,4392.0,1.0,0.98,0.1,46480937.0
103.66,99.59,82.2,375.95,53,9528.32,6,691,8.31,6226.0,1.2,1.12,0.05,52711614.0
163.04,125.42,116.87,362.87,245,16464.84,5,615,4.5,4970.0,1.0,1.19,0.1,79819622.0
122.38,112.7,94.81,317.51,35,15863.14,18,171,4.49,5137.0,1.0,1.11,0.05,59906258.0
124.24,81.25,94.8,404.79,227,18925.38,18,368,2.79,3812.0,1.5,1.05,0.05,145541552.0
134.57,91.73,113.24,358.56,82,10732.88,9,333,6.9,8464.0,1.2,0.96,0.1,40128137.0
136.13,104.12,77.52,362.13,215,12437.22,15,212,4.88,4829.0,1.2,0.96,0.05,46350031.0
134.05,125.78,102.96,403.43,35,15145.01,9,675,6.51,2752.0,1.2,1.08,0.1,114662488.0
96.46,104.13,97.91,341.75,220,17237.7,3,177,5.56,4634.0,1.5,1.01,0.05,15367615.0
82.81,126.35,87.67,359.75,126,14407.71,7,81,1.92,6070.0,1.0,1.02,0.05,12145536.0
83.35,81.3,105.88,384.72,95,15649.4,5,615,2.92,4368.0,1.2,1.05,0.05,60351374.0
137.61,80.16,97.14,286.95,146,17938.26,5,145,3.36,4398.0,1.0,0.99,0.05,15036243.0
106.22,109.33,110.88,399.48,145,20292.12,17,506,1.93,5720.0,1.0,1.12,0.05,212348180.0
136.62,122.99,95.44,363.01,150,15741.37,4,661,9.39,5013.0,1.0,0.97,0.05,51293703.0
128.16,101.56,105.8,403.8,188,16584.8,10,260,7.45,4113.0,1.5,1.19,0.15,66122586.0
84.49,137.29,104.45,355.78,166,14397.96,18,163,1.24,4477.0,1.2,1.06,0.05,50143757.0
102.27,104.88,102.75,398.02,137,14182.28,13,61,8.58,5394.0,1.2,1.07,0.1,18506891.0
121.6,108.97,99.21,366.31,264,13151.31,18,595,8.23,1799.0,1.2,1.1,0.05,174803475.0
126.93,102.48,105.61,320.04,86,11580.2,17,385,3.81,4309.0,1.0,1.15,0.1,101779009.0
138.07,125.46,95.2,379.0,137,18892.53,5,145,1.72,4993.0,1.0,0.99,0.05,18066287.0
135.8,105.77,85.73,300.64,221,14087.61,5,290,4.68,3421.0,1.2,1.0,0.05,26748581.0
102.28,110.56,104.02,329.34,208,17524.05,10,145,3.14,1983.0,1.0,1.02,0.05,30949581.0
111.57,138.71,121.32,361.75,26,16140.52,16,401,1.64,5942.0,1.2,1.08,0.05,121226733.0
88.73,126.2,95.68,413.52,271,17200.06,18,666,5.24,5476.0,1.5,1.15,0.05,264263130.0
132.11,115.89,110.87,427.19,212,17403.07,6,125,2.36,4837.0,1.2,1.09,0.05,18426726.0
127.08,80.51,101.91,286.42,109,12365.25,17,329,3.01,4731.0,1.0,1.11,0.1,89826473.0
128.32,95.04,106.86,371.82,70,17951.77,6,209,8.37,5063.0,1.0,1.19,0.05,33366463.0
128.82,112.54,107.43,256.65,29,13333.54,12,391,9.95,6149.0,1.0,1.1,0.05,76231979.0
121.09,125.39,102.9,286.48,106,12946.83,14,467,5.82,6812.0,1.0,1.17,0.1,116576295.0
125.92,115.98,108.55,367.83,183,12160.49,7,434,2.31,4161.0,1.2,1.16,0.15,57905760.0
117.28,90.46,107.54,357.85,102,15103.07,5,118,4.39,4680.0,1.0,1.01,0.15,13844035.0
115.16,115.17,97.02,330.28,235,18095.81,17,402,7.7,7742.0,1.0,1.17,0.1,167991214.0
139.88,118.1,110.05,349.93,45,21308.69,15,662,6.84,4048.0,1.2,1.01,0.1,239079957.0
113.86,115.73,89.94,481.71,249,9358.91,10,100,5.67,4090.0,1.0,1.13,0.05,16062945.0
124.06,83.88,100.3,291.93,154,14475.04,7,120,9.86,1743.0,1.0,1.09,0.05,18732126.0
124.04,109.29,102.56,426.63,84,14388.5,3,269,3.2,7501.0,1.0,1.16,0.1,20764437.0
103.67,95.68,103.59,282.68,150,16066.2,3,54,4.21,3760.0,1.0,1.09,0.05,6827167.0
80.0,93.42,110.37,404.93,38,15188.4,10,308,3.61,4740.0,1.0,1.07,0.1,58586874.0
100.61,107.41,111.01,409.7,190,19537.61,3,329,2.02,3482.0,1.5,1.2,0.1,33825299.0
136.15,107.62,104.03,443.89,201,12681.91,8,292,7.79,6690.0,1.0,1.03,0.1,41601086.0
103.93,125.67,93.07,390.4,123,14340.34,13,296,3.32,4996.0,1.0,1.16,0.05,72142793.0
134.07,112.98,103.47,364.6,277,15784.6,7,677,6.0,4548.0,1.0,1.18,0.05,104547886.0
118.22,92.53,104.55,473.38,222,11478.39,17,216,1.98,5335.0,1.0,1.14,0.15,62143943.0
81.77,76.54,102.2,353.0,174,10185.24,14,103,7.12,5603.0,1.2,1.02,0.05,20912307.0
101.1,113.97,96.75,255.64,280,13101.05,15,623,9.43,6125.0,1.2,0.99,0.1,144171304.0
125.76,115.04,104.24,339.14,160,18644.32,9,628,8.89,4955.0,1.2,1.13,0.1,140669506.0
148.62,149.62,93.95,301.15,222,17464.47,9,423,3.93,4518.0,1.5,1.05,0.1,84931687.0
137.88,115.23,95.5,305.7,264,14503.68,18,211,8.45,5203.0,1.0,1.15,0.15,80412968.0
85.68,111.91,105.79,357.16,41,19506.8,14,440,1.62,5720.0,1.2,0.97,0.05,124500926.0
153.15,93.6,115.59,350.03,280,14387.54,2,403,8.78,5685.0,1.2,1.11,0.05,24022627.0
118.59,98.17,97.27,401.13,222,16293.27,9,594,7.22,6025.0,1.0,0.99,0.05,99443975.0
131.54,99.65,108.23,306.1,279,14068.07,18,507,2.44,5594.0,1.0,1.12,0.1,167875867.0
106.45,104.81,93.73,418.04,70,13673.03,19,335,3.48,6108.0,1.2,1.11,0.15,116634892.0
139.66,107.26,89.83,398.49,266,17628.51,6,277,9.74,7410.0,1.0,1.13,0.1,46543756.0
119.84,98.33,98.47,444.99,36,12475.26,4,514,3.66,7118.0,1.0,1.05,0.05,31576867.0
89.84,100.77,81.91,386.19,225,14494.67,4,651,6.21,3819.0,1.0,1.14,0.05,57260714.0
124.1,95.26,106.51,330.15,127,18518.1,19,217,9.12,4938.0,1.0,1.11,0.1,100140248.0
84.1,108.23,87.16,392.04,131,15255.98,16,456,9.08,5888.0,1.0,1.11,0.1,144077390.0
147.29,116.41,98.28,353.67,179,8840.79,18,206,9.05,1560.0,1.5,1.06,0.1,44815607.0
122.9,98.26,83.18,316.78,56,17027.72,10,316,6.03,3034.0,1.2,1.02,0.15,67094331.0
136.13,110.21,100.57,412.67,39,13187.95,15,130,8.52,5527.0,1.2,1.18,0.05,39059707.0
128.43,107.15,93.17,359.27,203,20129.98,9,474,5.67,9109.0,1.5,1.06,0.1,111360575.0
111.74,104.18,104.55,408.22,234,17817.7,19,559,9.17,4912.0,1.0,1.16,0.15,266289869.0
91.89,144.75,108.49,312.88,37,20040.6,18,362,7.32,6218.0,1.0,1.03,0.15,160468999.0
121.26,105.38,123.33,377.19,211,15260.56,3,613,8.06,5300.0,1.0,1.1,0.1,47534455.0
119.18,77.14,97.49,406.17,283,18305.33,14,713,6.51,6492.0,1.0,0.99,0.05,203911253.0
123.27,97.18,110.83,274.0,287,10896.22,15,527,4.83,4168.0,1.0,1.13,0.05,114243274.0
117.15,96.95,102.56,389.56,46,12377.73,8,132,2.31,4641.0,1.5,1.18,0.05,22197216.0
104.55,112.53,111.57,342.05,255,14268.7,8,209,9.46,6657.0,1.2,1.16,0.05,37441989.0
80.82,128.12,78.3,299.85,46,16381.11,6,340,7.39,5840.0,1.0,1.19,0.1,49318112.0
104.84,111.87,86.53,370.11,195,17977.79,8,657,4.9,4265.0,1.0,1.15,0.05,126431803.0
135.52,113.35,88.16,343.91,191,12668.27,7,594,4.06,6212.0,1.5,0.99,0.05,63417655.0
107.85,119.42,109.06,259.94,97,17156.38,8,335,1.83,5680.0,1.0,1.0,0.1,54249558.0
111.32,127.58,87.58,300.44,114,13855.76,17,394,8.45,6195.0,1.5,1.09,0.1,120634998.0
110.86,89.67,116.68,398.98,191,13111.1,7,647,5.48,3796.0,1.5,1.18,0.1,90303746.0
121.5,120.68,103.2,314.74,53,18936.5,3,306,4.66,7025.0,1.0,1.1,0.1,25703581.0
120.94,123.97,94.49,289.02,225,20562.52,19,714,3.8,8332.0,1.2,1.17,0.1,369283206.0
142.01,99.46,112.93,227.93,99,15184.45,7,188,1.06,2910.0,1.2,1.0,0.1,26022972.0
154.48,103.06,105.01,284.03,194,16348.19,16,107,2.51,5294.0,1.2,1.09,0.1,38948677.0
115.38,104.43,106.7,369.74,297,17426.23,11,618,7.68,2593.0,1.0,0.96,0.05,130560818.0
