Project Complexity,Location Type,Environmental Risk Score,Regulatory Flags,Contractor Experience (Years),Budget (in ₹ Crores),Historical Risk Score,Risk Level
Low,Coastal,4.34,3,1,14.94,9.71,Medium Risk
Low,Suburban,5.95,4,23,23.13,9.58,Low Risk
Medium,Coastal,8.51,4,3,9.07,9.21,Medium Risk
Medium,Rural,5.76,2,5,10.44,5.9,Medium Risk
High,Rural,8.73,0,19,11.57,5.09,Low Risk
Medium,Rural,4.53,0,26,21.81,4.75,Low Risk
Medium,Suburban,2.55,2,28,17.16,6.63,Low Risk
Medium,Suburban,3.98,1,26,9.43,5.79,Low Risk
Medium,Urban,7.11,1,6,10.27,2.45,Low Risk
Medium,Suburban,5.86,3,18,21.02,2.09,Low Risk
Medium,Rural,5.76,0,22,16.6,9.61,Low Risk
Medium,Hilly,1.69,1,6,12.9,4.58,Low Risk
Medium,Coastal,6.31,0,23,5.41,7.38,Low Risk
Low,Hilly,9.62,1,25,9.63,8.01,Low Risk
Low,Hilly,5.73,2,16,11.08,5.1,Low Risk
Medium,Suburban,7.65,1,1,14.03,3.29,Low Risk
Medium,Suburban,8.03,0,8,17.3,2.73,Low Risk
Low,Coastal,7.17,1,9,11.01,2.17,Low Risk
Low,Rural,1.49,4,29,5.0,3.68,Low Risk
Medium,Urban,7.11,0,15,5.49,1.53,Low Risk
High,Hilly,2.28,3,16,14.68,7.24,Medium Risk
Medium,Hilly,6.43,1,28,12.37,7.69,Low Risk
Low,Rural,4.19,1,6,12.35,1.19,Low Risk
Medium,Coastal,1.74,1,2,10.26,7.41,Low Risk
Low,Urban,5.78,1,4,12.74,1.44,Low Risk
Medium,Suburban,6.1,1,14,18.47,5.38,Low Risk
Medium,Suburban,1.12,4,20,10.03,7.17,Low Risk
High,Urban,6.72,4,26,11.0,7.85,Medium Risk
High,Hilly,7.68,1,15,15.84,2.61,Low Risk
High,Rural,7.32,3,19,10.76,7.8,Medium Risk
High,Hilly,7.16,3,15,21.88,3.25,Medium Risk
High,Rural,4.31,2,25,12.53,1.79,Low Risk
High,Suburban,9.21,0,13,25.39,9.32,Medium Risk
Medium,Hilly,3.83,1,13,11.97,9.17,Low Risk
Low,Hilly,3.7,3,10,16.09,1.84,Low Risk
Low,Hilly,1.46,1,26,8.6,5.48,Low Risk
Medium,Rural,7.62,1,7,11.59,6.81,Low Risk
High,Coastal,9.94,1,23,14.39,3.62,Low Risk
High,Coastal,4.58,0,5,10.98,5.74,Low Risk
High,Urban,3.69,2,21,10.94,6.96,Low Risk
Low,Coastal,3.77,2,3,17.73,5.88,Low Risk
Low,Hilly,5.16,1,4,13.86,4.76,Low Risk
Low,Suburban,1.85,1,12,23.95,7.81,Low Risk
Low,Urban,6.49,3,29,15.75,6.1,Low Risk
Medium,Rural,5.67,3,16,16.54,1.56,Low Risk
Medium,Urban,8.81,2,11,13.27,1.59,Low Risk
Medium,Rural,5.38,0,8,19.64,8.5,Low Risk
Low,Urban,7.4,1,10,28.85,2.69,Low Risk
Medium,Suburban,1.41,1,4,14.92,2.48,Low Risk
