Customer_ID,Age,Annual_Income,Payment_History_Score,Credit_Utilization_Ratio,Credit_History_Length_Years,Number_of_Credit_Lines,Number_of_Late_Payments,Number_of_Credit_Inquiries,Types_of_Credit,Employment_Status,Outstanding_Debt,Has_Mortgage,Region,Credit_Score
CUST00001,53,1426973,802,1.12,10,1,3,5,Mixed,Student,651174,1,West,370
CUST00002,36,692021,475,0.42,16,3,2,1,Credit Card,Employed,116779,1,South,542
CUST00003,57,1906233,473,0.79,14,5,1,1,Auto Loan,Student,212895,0,Central,474
CUST00004,29,1801586,379,0.91,11,2,0,3,Mixed,Retired,343273,0,West,391
CUST00005,45,361591,774,0.15,9,4,3,2,Credit Card,Self-employed,427971,0,North,571
CUST00006,42,590679,558,0.05,11,9,1,0,Credit Card,Unemployed,624058,1,North,579
CUST00007,64,399104,510,0.29,15,1,4,5,Mixed,Student,104347,0,East,492
CUST00008,46,725941,600,1.16,6,5,3,0,Home Loan,Employed,170861,1,East,373
CUST00009,44,290767,685,0.2,23,4,0,2,Credit Card,Employed,200637,1,North,703
CUST00010,61,1603998,714,1.03,2,3,3,0,Credit Card,Retired,192404,0,South,398
CUST00011,58,1760606,872,0.57,3,9,2,7,Auto Loan,Employed,790825,1,South,420
CUST00012,34,1447590,353,0.94,16,3,4,3,Credit Card,Self-employed,895056,1,Central,300
CUST00013,62,492898,719,0.36,21,5,1,4,Personal Loan,Unemployed,982974,0,South,567
CUST00014,53,755120,796,0.91,3,2,1,0,Mixed,Employed,288594,0,East,475
CUST00015,63,310372,411,1.13,3,7,2,0,Auto Loan,Self-employed,180476,1,West,320
CUST00016,58,1531371,574,0.65,11,8,4,0,Home Loan,Student,380183,1,North,452
CUST00017,28,1581188,814,0.09,15,2,3,2,Credit Card,Unemployed,678350,0,Central,612
CUST00018,28,373903,894,0.78,22,1,3,7,Personal Loan,Self-employed,628512,1,West,517
CUST00019,43,1352031,836,0.3,6,3,3,1,Personal Loan,Employed,945068,0,South,510
CUST00020,48,1062144,567,0.22,2,3,2,0,Mixed,Student,419494,0,Central,492
CUST00021,49,1642571,655,0.09,1,9,1,0,Home Loan,Employed,381929,1,East,553
CUST00022,28,1543015,547,0.3,2,6,3,4,Auto Loan,Employed,477568,1,South,408
