Product ID,Weight (g),Length (cm),Width (cm),Height (cm),Temp Sensor (°C),Pressure Sensor (kPa),Vibration Level,Surface Finish,Production Shift,Defective
1,448.91,11.58,5.94,3.24,92.0,95.2,0.95,Good,Day,1
2,459.16,8.61,3.22,3.26,68.1,103.9,0.57,Good,Night,0
3,607.61,12.06,6.69,3.13,95.9,99.3,0.21,Good,Night,1
4,505.95,10.36,4.48,2.68,75.9,94.5,0.49,Average,Night,0
5,510.6,6.17,4.48,3.55,77.2,99.6,1.37,Good,Night,1
6,536.42,7.56,6.32,3.09,76.9,94.3,0.28,Average,Day,0
7,540.33,9.22,2.75,3.12,78.4,115.8,1.13,Good,Day,0
8,535.13,12.1,5.3,3.53,64.6,91.5,1.03,Good,Day,0
9,441.14,9.22,4.79,2.92,68.6,87.5,1.12,Good,Day,1
10,407.04,12.18,3.77,3.1,73.5,98.5,1.19,Good,Day,1
11,408.39,6.17,5.59,3.35,68.8,122.3,0.51,Average,Night,1
12,544.03,6.02,4.71,2.37,78.9,103.9,0.1,Good,Night,0
13,465.54,9.91,6.09,3.49,74.1,108.7,1.03,Good,Day,0
14,541.55,11.73,4.54,3.13,64.7,84.9,1.22,Good,Night,1
15,520.41,8.87,5.58,3.54,79.5,84.3,0.24,Good,Night,0
16,411.22,13.64,5.44,3.06,78.9,100.5,0.61,Good,Day,1
17,455.67,9.32,5.27,3.48,68.4,81.7,1.4,Good,Day,1
18,504.01,9.86,4.92,3.16,59.8,92.8,0.96,Good,Day,0
19,517.33,9.0,5.56,2.7,71.2,99.1,0.74,Good,Night,0
20,545.18,12.06,4.52,3.29,69.6,91.4,0.81,Poor,Day,1
21,539.51,9.44,3.57,2.51,70.5,113.8,1.09,Good,Day,0
22,455.69,10.08,5.4,2.79,79.6,90.7,0.84,Good,Day,0
23,478.92,13.83,7.13,3.12,68.6,74.1,0.72,Good,Day,0
24,421.81,12.16,4.57,3.64,71.9,102.8,0.22,Good,Night,1
25,530.28,10.79,6.09,3.77,72.3,104.5,0.4,Good,Night,0
26,517.7,6.07,5.19,2.36,66.2,93.3,0.52,Good,Night,0
27,520.79,8.0,5.69,3.22,76.2,107.7,0.98,Average,Day,0
28,522.06,10.34,5.74,2.07,76.9,133.9,0.7,Average,Night,0
29,502.72,12.05,5.29,2.36,56.8,116.2,1.31,Good,Day,1
30,514.81,10.8,5.86,3.18,70.9,119.9,1.47,Average,Day,1
31,493.19,7.39,5.75,3.08,76.7,121.1,1.11,Good,Night,0
32,487.91,10.69,4.7,2.8,77.1,118.6,0.18,Good,Night,0
33,549.69,11.08,6.01,3.0,71.6,123.4,0.46,Average,Day,0
34,484.65,10.76,3.99,4.32,61.5,101.3,0.67,Average,Night,0
35,510.16,6.52,5.03,2.42,83.7,95.7,1.49,Good,Night,1
36,510.11,9.91,5.26,3.77,85.3,117.8,1.36,Good,Night,1
37,459.18,8.09,5.36,2.33,79.6,83.8,0.79,Poor,Night,1
38,362.72,7.79,6.04,3.55,73.1,83.6,0.49,Good,Night,1
39,451.52,9.65,6.1,3.6,64.0,81.3,0.56,Good,Night,0
40,540.37,9.68,5.4,3.94,65.5,110.6,0.96,Good,Day,0
41,459.81,12.09,4.31,3.4,80.6,61.5,0.28,Good,Night,0
42,535.18,10.4,5.35,3.15,65.4,90.1,1.17,Good,Day,0
43,495.55,7.67,5.46,4.23,68.2,86.8,1.24,Average,Day,1
44,404.43,5.54,5.22,3.03,69.4,130.2,0.4,Good,Day,1
