route,airline,booking_class,demand_level,season,days_to_departure,fuel_price_index,competitor_price,predicted_flight_price_inr
HYD-BOM,FlyIndia,Economy,0.94,Peak,137,105.91,10249.78,6519.11
GOA-DEL,IndiSky,Economy,0.95,Holiday,67,113.08,7783.44,9393.35
GOA-DEL,BharatAir,Economy,1.25,Off-Peak,158,97.26,7428.5,8867.11
DEL-MUM,AirVista,Economy,1.44,Holiday,167,129.59,8461.06,8673.83
CHN-KOL,BharatAir,Business,0.77,Peak,177,85.04,7241.78,9637.07
DEL-MUM,AirVista,Economy,1.27,Off-Peak,119,92.85,4676.15,7382.56
GOA-DEL,IndiSky,Premium Economy,0.61,Off-Peak,34,99.86,6909.39,8771.42
PUNE-BLR,SkyJet,Premium Economy,1.32,Regular,33,80.26,3457.51,12691.53
CHN-KOL,IndiSky,Economy,1.34,Holiday,66,109.03,9911.3,13585.16
CHN-KOL,SkyJet,Economy,1.47,Peak,116,97.33,7856.9,12490.66
DEL-MUM,AirVista,Economy,1.14,Regular,136,119.23,11406.69,7249.75
GOA-DEL,SkyJet,Economy,0.7,Holiday,122,83.2,6263.72,5785.2
HYD-BOM,FlyIndia,Premium Economy,0.94,Peak,125,83.7,4729.38,8204.23
CHN-KOL,AirVista,Economy,1.43,Off-Peak,16,98.85,10204.49,14160.99
HYD-BOM,SkyJet,Economy,0.65,Regular,13,106.49,8216.27,6165.94
DEL-MUM,SkyJet,Economy,0.96,Peak,40,93.16,4295.53,10582.98
BLR-DEL,SkyJet,Economy,1.19,Regular,170,129.71,5521.44,7059.81
CHN-KOL,BharatAir,Economy,0.98,Off-Peak,55,115.49,5261.27,9156.69
DEL-MUM,FlyIndia,Economy,0.83,Holiday,106,110.08,4552.73,6806.44
BLR-DEL,SkyJet,Economy,1.07,Regular,50,105.06,2636.57,10731.13
HYD-BOM,FlyIndia,Premium Economy,1.45,Peak,46,82.88,3293.79,18065.55
PUNE-BLR,AirVista,Economy,1.45,Peak,112,93.49,6754.38,10803.04
HYD-BOM,AirVista,Economy,0.77,Holiday,131,119.68,9261.53,5836.11
CHN-KOL,IndiSky,Premium Economy,0.84,Holiday,131,92.73,5918.48,8423.13
PUNE-BLR,AirVista,Economy,1.26,Peak,178,86.9,9924.2,6486.38
PUNE-BLR,FlyIndia,Economy,0.92,Off-Peak,87,90.85,9939.96,6218.01
HYD-BOM,IndiSky,Premium Economy,0.77,Off-Peak,147,88.78,2767.85,5207.48
CHN-KOL,FlyIndia,Premium Economy,1.28,Off-Peak,170,80.72,11962.52,8621.66
