,Age,CGPA,Aptitude_Score,Programming_Score,SQL_Score,Communication_Score,Projects,Certifications,Internship_Months,Hackathon_Participation,Attendance,Selected
0,24,65,88,34,92,34,0,8,5,0,88,1
1,21,75,86,26,47,30,1,1,2,5,96,0
2,25,80,69,59,54,73,5,3,10,0,91,1
3,22,58,88,47,29,51,10,5,8,5,84,1
4,24,88,31,51,84,67,4,2,2,3,69,1
5,20,72,39,34,61,48,7,6,1,3,94,1
6,24,94,73,89,28,60,10,6,7,4,84,1
7,25,89,40,84,79,96,1,4,5,5,86,1
8,22,95,31,23,34,71,0,2,7,3,91,0
9,21,83,79,30,76,55,6,1,12,5,71,1
10,25,83,41,45,88,42,5,3,6,0,63,1
11,25,92,52,80,41,87,7,3,2,4,85,1
12,20,75,47,56,83,47,10,7,7,2,62,1
13,23,67,91,42,60,96,7,7,9,1,76,1
14,22,95,91,59,90,32,1,4,0,1,68,0
15,19,71,67,96,75,84,7,5,0,4,88,1
16,25,63,96,42,42,87,5,7,12,5,60,1
17,23,95,67,35,44,92,8,0,12,5,77,1
18,19,55,96,80,25,81,6,4,9,5,100,1
19,22,56,90,87,53,53,1,3,12,2,79,1
20,18,83,30,99,82,38,7,3,7,1,100,1
21,23,87,74,50,28,66,8,1,12,4,93,1
22,26,64,57,72,79,82,6,0,8,5,87,1
23,18,94,50,44,68,53,3,5,9,3,94,1
24,20,75,42,63,70,50,8,6,5,0,75,1
25,24,82,56,31,79,69,3,4,4,2,80,1
26,21,65,36,28,89,91,3,7,1,5,72,1
27,26,88,51,31,56,99,8,8,10,1,94,1
28,20,62,82,88,50,98,7,1,8,0,91,1
29,22,76,33,73,60,43,3,3,5,4,97,1
30,20,62,52,73,81,71,7,8,7,5,65,1
31,24,69,99,47,77,79,7,4,8,1,97,1
32,22,71,62,75,33,90,6,2,8,0,97,1
33,26,77,57,88,55,33,9,5,7,3,72,1
34,24,78,37,96,55,46,5,2,11,2,98,1
35,19,73,30,77,98,86,7,4,9,4,72,1
36,21,59,66,97,27,77,6,2,7,1,71,1
37,26,86,92,94,45,73,4,5,2,3,92,1
38,19,55,51,61,55,74,3,4,12,2,87,1
39,26,77,99,57,67,62,1,8,2,2,62,1
40,22,91,50,87,47,60,10,2,1,3,77,1
41,19,62,64,72,87,76,7,5,0,1,85,1
42,21,67,34,52,81,35,8,7,3,2,99,1
43,24,62,89,90,99,100,3,6,1,4,61,1
44,25,77,75,75,95,63,3,5,1,0,63,1
45,20,55,79,91,99,82,4,1,12,4,87,1
46,18,78,77,70,70,43,1,6,10,5,87,1
47,21,89,35,93,61,45,6,7,10,2,84,1
48,19,78,85,62,48,72,4,0,4,0,85,1
49,25,71,88,34,29,41,5,8,3,3,61,1
50,21,59,58,57,58,99,3,3,0,0,93,0
51,19,74,100,34,20,48,7,7,8,0,89,1
52,23,75,47,24,58,70,7,6,3,0,80,1
53,23,94,31,73,40,82,4,6,4,2,96,1
54,21,85,37,70,84,58,5,1,6,5,82,1
55,23,90,83,29,34,99,2,0,1,5,92,0
56,19,65,67,31,23,88,0,3,7,1,61,0
57,19,69,77,23,79,93,8,1,10,5,86,1
58,21,73,56,37,80,53,8,7,1,2,81,1
59,25,61,49,99,39,45,2,6,10,1,93,1
60,24,82,41,55,29,81,3,7,9,3,75,1
61,26,59,72,44,53,35,6,5,4,3,79,1
62,25,59,90,95,67,66,1,0,12,3,85,1
63,22,84,60,55,52,33,2,8,11,3,75,1
64,19,86,90,86,80,67,5,5,1,3,65,1
65,22,62,96,28,29,70,10,0,1,4,82,1
66,25,64,64,80,73,43,7,0,3,2,96,1
67,26,92,44,72,84,100,0,7,3,1,67,1
68,26,86,45,37,96,80,3,5,12,3,65,1
69,18,82,42,62,20,94,0,7,7,4,96,1
70,26,71,64,54,24,81,1,7,12,5,81,1
71,24,85,88,82,99,59,7,7,5,4,65,1
72,26,62,50,97,34,86,5,6,9,4,91,1
73,25,94,83,23,47,59,8,6,7,2,76,1
74,18,79,59,60,42,71,1,3,12,3,97,1
75,25,63,77,64,36,40,2,8,6,4,76,1
76,25,56,64,69,32,56,8,1,12,4,96,1
77,20,69,67,98,33,53,8,8,9,3,82,1
78,18,57,60,47,30,68,5,2,3,2,72,0
79,25,90,53,61,47,47,2,1,1,4,91,0
80,20,58,78,99,61,74,4,3,8,1,81,1
81,20,68,61,95,80,41,1,4,1,0,66,0
82,18,95,84,88,83,78,6,1,0,5,81,1
83,22,95,87,20,50,60,9,0,7,0,80,1
84,24,79,32,58,100,51,10,4,9,0,65,1
85,26,64,98,36,92,73,7,8,8,2,73,1
86,24,75,39,54,29,93,5,4,0,4,75,1
87,26,90,54,65,27,54,7,8,6,0,62,1
88,25,66,97,61,40,80,1,5,1,0,68,0
89,19,81,90,58,96,36,2,2,5,5,80,1
90,18,94,58,68,78,35,6,3,12,3,89,1
91,24,56,48,81,69,53,9,3,10,4,89,1
92,24,67,72,57,88,48,0,0,4,4,91,0
93,25,86,95,42,89,38,6,2,0,5,82,1
94,22,85,90,41,49,65,5,2,1,3,62,1
95,20,70,72,23,36,69,7,0,1,4,60,0
96,25,86,54,68,94,53,6,8,9,1,62,1
97,23,86,49,78,39,77,3,0,9,5,96,1
98,20,88,77,92,67,92,2,8,5,2,66,1
99,18,65,53,87,92,98,2,0,10,3,62,1
100,20,64,40,90,21,82,3,1,11,5,95,1
101,22,69,84,21,56,83,8,1,0,0,62,0
102,20,71,57,68,20,71,8,5,10,4,63,1
103,18,94,98,50,23,74,1,6,12,1,90,1
104,22,72,92,59,73,43,4,0,3,1,61,1
105,24,63,88,67,44,58,0,2,11,2,73,1
106,24,79,34,70,22,35,3,1,9,5,96,1
107,26,94,80,62,28,36,1,7,10,1,90,1
108,20,68,50,74,95,66,7,8,4,5,61,1
