GameID,Title,AvgSessionLength,VisualStyle,NarrativeDepth,ComplexityScore,PlayerRating,MechanicsCount,MultiplayerSupport,InAppPurchases,ReleaseYear,AvgPlaytimePerUserHrs,ReviewSentiment,HasStoryMode,Platform,TargetAudienceAge,PriceCategory,Genre
5001,Game_1,24.6,Realistic,2,1.1,3.2,6,0,1,2011,5.8,Negative,1,Console,Teens,Premium,Strategy
5002,Game_2,28.7,Cartoon,1,3.7,2.3,18,0,1,2019,16.3,Positive,1,Cross-platform,Teens,Paid,Simulation
5003,Game_3,88.0,Minimalist,5,6.6,3.8,7,1,0,2007,3.8,Mixed,0,Cross-platform,Teens,Premium,Shooter
5004,Game_4,47.4,3D,2,6.5,2.7,8,1,1,2005,1.7,Positive,1,PC,Adults,Freemium,Puzzle
5005,Game_5,49.2,Cartoon,2,6.5,1.1,1,1,1,2022,3.8,Mixed,0,Console,All Ages,Freemium,Sports
5006,Game_6,59.6,Pixel,2,8.0,1.1,16,0,0,2015,0.2,Positive,0,PC,Kids,Paid,Strategy
5007,Game_7,61.1,Anime,2,7.2,3.2,1,0,0,2019,7.0,Mixed,1,Mobile,Teens,Free,Puzzle
5008,Game_8,59.1,3D,2,2.4,3.3,9,1,0,2010,5.0,Mixed,0,Console,Adults,Paid,Shooter
5009,Game_9,21.5,Minimalist,2,7.7,4.1,5,0,0,2011,6.9,Positive,0,PC,Kids,Freemium,Shooter
5010,Game_10,10.0,Cartoon,5,3.9,2.6,2,0,1,2013,1.2,Positive,1,PC,Adults,Freemium,Horror
5011,Game_11,10.0,Minimalist,5,1.8,4.2,4,0,0,2004,1.9,Positive,0,PC,All Ages,Paid,Sports
5012,Game_12,62.6,Cartoon,1,7.7,4.6,13,0,0,2000,2.6,Positive,0,Cross-platform,Kids,Free,Simulation
5013,Game_13,31.2,Realistic,2,3.3,1.8,10,0,0,2014,18.2,Negative,0,PC,All Ages,Free,Adventure
5014,Game_14,61.6,3D,1,2.0,3.3,3,0,1,2002,2.7,Mixed,1,Console,Adults,Premium,Horror
5015,Game_15,53.2,Pixel,2,4.0,3.6,19,0,0,2012,0.2,Mixed,1,Mobile,Adults,Freemium,Strategy
5016,Game_16,10.0,Realistic,3,9.1,3.2,14,0,1,2007,7.3,Positive,1,Cross-platform,All Ages,Paid,Horror
5017,Game_17,27.3,Realistic,5,5.9,3.9,15,0,1,2016,19.9,Mixed,1,Mobile,Kids,Premium,Simulation
5018,Game_18,46.6,Minimalist,4,9.5,1.7,7,1,1,2022,37.3,Mixed,1,Cross-platform,Kids,Free,RPG
5019,Game_19,51.9,Realistic,2,7.1,2.3,1,1,0,2016,7.3,Positive,1,Cross-platform,Adults,Freemium,Shooter
5020,Game_20,63.1,Realistic,3,8.3,1.9,2,0,1,2012,12.6,Positive,0,Mobile,Kids,Freemium,Simulation
5021,Game_21,60.8,3D,1,3.1,3.2,7,0,0,2013,0.8,Positive,1,Mobile,All Ages,Premium,Horror
5022,Game_22,27.3,Anime,1,1.5,2.8,12,0,1,2005,3.3,Positive,1,Mobile,Adults,Premium,Horror
5023,Game_23,36.6,Anime,4,8.8,3.2,16,0,0,2024,1.0,Positive,1,Console,Adults,Freemium,RPG
5024,Game_24,13.7,Cartoon,1,2.2,1.6,18,1,0,2015,9.9,Negative,1,PC,Adults,Premium,Adventure
5025,Game_25,57.1,Anime,3,3.1,3.6,17,1,0,2016,2.5,Positive,1,PC,Teens,Premium,Strategy
5026,Game_26,52.1,Cartoon,4,6.4,4.9,9,0,0,2023,3.0,Mixed,1,Cross-platform,Teens,Freemium,Strategy
5027,Game_27,53.3,Anime,1,2.9,1.4,16,1,0,2004,18.5,Positive,1,Console,Kids,Premium,Horror
5028,Game_28,53.8,Realistic,4,3.6,2.3,14,0,0,2012,0.7,Positive,1,Cross-platform,Adults,Paid,Simulation
5029,Game_29,46.1,Pixel,1,3.1,2.5,13,0,0,2018,3.2,Positive,1,PC,Teens,Free,Sports
5030,Game_30,50.9,Minimalist,4,1.0,4.6,18,1,0,2014,3.0,Positive,1,Console,Kids,Premium,Sports
5031,Game_31,42.3,Anime,5,4.6,2.3,7,1,1,2016,23.7,Mixed,1,Cross-platform,Teens,Freemium,RPG
5032,Game_32,40.2,Pixel,2,9.2,2.4,16,1,0,2019,0.4,Positive,1,PC,Teens,Premium,Horror
