GamerID,PreferredGenre,AvgSessionTimeMins,SessionsPerWeek,InGamePurchases,AchievementsUnlocked,FriendsInNetwork,PrefersMultiplayer,UsesVoiceChat,StreamingHoursPerWeek,GamerType
1001,Action,108.4,5,0,69,67,1,0,0.3,Achiever
1002,Puzzle,43.2,11,2,36,210,1,1,0.7,Socializer
1003,Shooter,54.8,6,2,82,41,1,1,0.9,Achiever
1004,Shooter,86.0,4,3,72,12,1,1,0.3,Casual
1005,Action,66.2,3,0,62,12,1,0,8.1,Casual
1006,Shooter,54.8,4,2,57,141,1,1,3.8,Explorer
1007,Sports,129.0,8,2,10,269,1,1,0.1,Explorer
1008,Action,38.0,9,4,87,187,1,0,5.5,Casual
1009,Simulation,22.3,8,0,36,253,1,0,4.9,Explorer
1010,RPG,44.3,6,2,53,24,1,0,1.1,Explorer
1011,Puzzle,24.0,1,0,61,132,1,0,0.2,Strategist
1012,Adventure,59.5,5,3,24,104,1,1,1.6,Explorer
1013,Action,104.2,2,2,52,231,0,1,0.8,Explorer
1014,Simulation,69.0,9,1,15,214,0,0,0.2,Strategist
1015,Simulation,24.2,2,3,71,124,1,0,1.9,Explorer
1016,Adventure,23.4,14,4,99,255,0,0,0.5,Socializer
1017,Action,123.8,2,5,99,118,1,1,0.8,Achiever
1018,Puzzle,93.7,6,2,50,68,1,0,5.1,Casual
1019,Simulation,10.0,9,2,20,153,1,0,15.6,Explorer
1020,Sports,81.3,9,3,66,147,0,0,2.3,Explorer
1021,RPG,25.8,2,1,42,194,1,1,0.5,Explorer
1022,Shooter,48.6,3,4,36,296,1,0,1.4,Casual
1023,Puzzle,54.9,7,0,65,51,0,1,4.1,Strategist
1024,Shooter,49.0,13,1,10,155,1,1,3.1,Achiever
1025,Puzzle,73.1,9,1,91,160,1,0,2.2,Achiever
1026,RPG,39.1,11,4,37,225,1,1,12.5,Casual
1027,Puzzle,28.4,12,1,31,278,1,0,0.8,Casual
1028,RPG,59.4,4,2,5,265,0,0,1.3,Socializer
1029,Shooter,95.4,5,4,11,105,0,1,1.0,Explorer
1030,Puzzle,42.5,14,5,7,137,0,1,0.4,Achiever
1031,Action,21.4,11,3,60,121,1,1,4.2,Achiever
1032,Adventure,35.0,8,1,27,46,0,0,0.9,Casual
1033,Sports,59.2,7,1,2,125,1,1,2.4,Casual
1034,Adventure,35.4,2,2,43,249,1,0,0.3,Achiever
1035,Sports,61.3,14,0,19,40,1,1,3.4,Casual
1036,Adventure,51.3,8,2,16,199,1,1,8.3,Socializer
1037,Sports,87.5,10,0,8,261,1,1,6.3,Achiever
1038,RPG,101.2,1,4,99,46,1,0,1.2,Strategist
1039,Action,72.2,10,2,98,284,1,1,5.3,Casual
1040,Puzzle,123.1,8,1,44,59,0,1,0.2,Socializer
1041,Adventure,115.7,12,3,46,15,1,1,6.0,Explorer
1042,Simulation,27.2,13,3,46,284,0,0,3.5,Achiever
1043,Sports,10.0,7,0,18,164,1,0,0.5,Strategist
1044,Sports,48.8,11,1,53,127,1,1,1.0,Achiever
1045,Shooter,57.4,11,1,20,18,1,0,10.6,Strategist
1046,Adventure,55.5,4,2,83,268,1,0,1.1,Strategist
1047,Sports,50.7,6,2,22,26,1,0,2.6,Strategist
1048,Action,99.2,6,2,60,181,1,0,7.0,Casual
1049,Simulation,57.7,13,2,53,91,1,0,6.8,Strategist
1050,Adventure,50.3,2,7,35,266,1,0,6.7,Strategist
1051,RPG,10.7,3,3,73,266,0,1,2.5,Explorer
1052,Action,48.4,9,2,61,61,1,0,5.4,Explorer
1053,Adventure,41.5,9,4,90,95,1,1,2.2,Explorer
1054,RPG,84.1,12,2,11,252,0,0,7.2,Explorer
1055,RPG,48.7,12,1,37,112,1,1,3.6,Achiever
1056,Sports,77.7,3,1,46,5,1,1,4.6,Strategist
1057,Puzzle,32.1,1,0,3,234,1,0,2.8,Achiever
1058,Simulation,56.6,3,3,26,158,1,0,1.7,Socializer
1059,RPG,20.9,5,0,27,18,1,1,0.5,Casual
1060,Adventure,66.9,12,3,0,216,1,0,8.5,Explorer
1061,Sports,59.8,10,0,73,42,1,1,3.7,Socializer
1062,Sports,88.2,2,2,38,223,1,1,1.7,Achiever
1063,Simulation,54.5,3,3,20,102,1,0,1.2,Casual
1064,Sports,70.9,5,2,61,215,1,1,0.3,Casual
1065,Action,131.8,3,0,17,95,1,1,5.3,Strategist
1066,Action,105.9,10,4,20,118,0,0,2.1,Achiever
1067,Adventure,100.0,1,2,25,222,0,0,1.6,Achiever
1068,Adventure,102.1,7,2,1,259,0,0,1.1,Casual
1069,Adventure,10.0,4,1,70,289,1,1,0.0,Casual
1070,RPG,73.3,9,3,56,292,1,1,0.5,Explorer
1071,Sports,48.2,13,3,57,71,0,1,4.1,Casual
1072,Action,60.1,12,3,82,182,1,1,1.3,Strategist
1073,Simulation,10.0,7,2,86,219,0,1,0.1,Strategist
1074,Sports,108.6,3,2,62,84,1,0,3.4,Socializer
1075,Action,47.6,10,2,95,74,0,1,1.4,Casual
1076,Sports,67.6,9,2,86,75,0,1,0.5,Socializer
1077,Shooter,53.5,13,1,66,266,0,0,2.7,Casual
1078,Shooter,88.8,10,1,1,133,0,0,1.9,Explorer
1079,Simulation,35.3,10,3,33,272,1,0,2.1,Explorer
1080,Puzzle,86.8,8,4,62,213,1,1,0.6,Casual
1081,Simulation,94.8,3,3,39,77,1,0,0.7,Socializer
1082,Action,59.7,3,0,13,154,1,1,0.5,Casual
1083,RPG,90.2,8,0,68,189,0,1,3.4,Achiever
1084,Sports,57.9,10,2,73,88,1,0,2.6,Explorer
1085,RPG,53.7,6,3,80,194,0,0,8.2,Socializer
1086,RPG,50.0,14,1,74,181,0,0,1.9,Strategist
1087,Action,27.3,12,2,59,189,0,1,18.9,Socializer
1088,Shooter,32.2,11,1,85,89,1,1,0.8,Socializer
1089,Shooter,90.3,4,0,29,281,1,1,0.9,Strategist
1090,RPG,113.1,6,3,94,284,1,0,7.2,Explorer
1091,Shooter,10.0,12,2,86,18,1,1,4.6,Achiever
1092,Simulation,10.0,12,0,53,25,1,0,2.4,Socializer
1093,Puzzle,86.1,13,3,42,193,0,1,1.6,Explorer
1094,Shooter,91.4,2,5,83,19,1,0,0.8,Explorer
1095,Action,87.2,10,2,88,289,0,1,3.5,Achiever
1096,Action,126.7,1,2,33,129,0,0,2.0,Explorer
