Credit Score,Annual Income (₹),Existing Debts (₹),Employment History (Years),Loan Amount (₹),Loan Term (Months),Interest Rate (%),Approval Status
652,53022,8480,25,39199,12,10.92,Approved
699,54097,15629,17,21067,60,8.31,Approved
680,38886,4809,19,31048,48,7.5,Approved
794,36030,21006,23,38635,48,6.68,Approved
385,48314,21639,19,18231,12,8.87,Rejected
358,49618,7336,9,35187,24,5.76,Rejected
515,43606,13196,6,12074,24,14.01,Rejected
593,50120,20384,2,23460,48,14.66,Rejected
465,76250,8742,14,23529,60,5.28,Rejected
611,55571,21614,16,45857,12,14.26,Rejected
371,59197,17047,2,40486,24,5.64,Rejected
770,27012,19073,26,21102,12,11.32,Approved
648,55178,15841,5,12988,12,13.91,Rejected
558,42109,20023,17,9252,12,14.9,Rejected
487,53708,22655,16,1062,12,7.32,Rejected
367,53212,6614,4,35139,60,14.83,Rejected
848,34974,21084,5,38229,24,8.25,Approved
686,60425,12713,24,11549,24,6.14,Approved
725,45010,7592,7,30452,24,17.01,Approved
715,68020,19601,2,5023,36,16.8,Approved
373,63436,12755,9,12372,48,6.22,Rejected
330,51329,28997,3,37760,36,11.48,Rejected
819,64799,23705,2,34407,36,13.39,Approved
668,57322,33839,19,43755,60,8.79,Approved
341,35160,9108,16,46468,24,11.84,Rejected
433,50134,10942,9,33582,24,13.61,Rejected
506,62047,9247,18,44786,36,12.05,Rejected
650,46772,11771,29,42915,24,10.43,Approved
493,55710,18328,11,35060,60,14.83,Rejected
834,59803,16982,5,44027,24,12.37,Approved
828,52463,14642,24,42584,60,5.81,Approved
823,86912,0,6,8303,48,5.85,Approved
771,63833,16443,15,21573,24,15.83,Approved
483,52367,1240,22,45919,12,7.45,Rejected
683,47431,10309,3,24530,36,7.13,Approved
758,55909,9888,12,26043,60,8.03,Approved
375,57091,27579,12,16530,36,16.75,Rejected
618,79216,14762,26,4010,24,16.26,Rejected
514,56053,2712,3,8769,24,14.82,Rejected
841,51745,10322,25,22578,48,5.61,Approved
420,52421,11923,25,3656,24,15.86,Rejected
436,48777,18042,19,7217,36,14.25,Rejected
755,40468,20752,16,34616,36,16.63,Approved
397,42592,14778,21,39152,24,16.87,Rejected
594,50389,21491,2,20188,12,8.45,Rejected
505,50086,20215,28,10491,48,5.14,Rejected
450,22664,16700,14,18383,48,11.58,Rejected
800,40232,25276,26,3165,36,16.18,Approved
731,42579,34512,1,27751,24,11.01,Rejected
729,47828,8232,19,28087,12,6.0,Approved
510,43595,18603,1,3655,48,8.12,Rejected
455,64240,10564,28,32118,24,11.85,Rejected
783,59535,14706,3,48460,60,17.57,Approved
491,46894,15645,25,9165,48,6.67,Rejected
659,59690,17763,22,29286,12,7.46,Approved
688,54397,14561,17,46735,48,7.28,Approved
681,57997,27028,5,31659,36,16.77,Approved
675,59581,17191,10,13418,60,11.48,Approved
830,56869,32376,24,33232,24,14.13,Approved
418,45777,26299,9,40015,24,14.98,Rejected
518,23456,11723,22,47917,36,16.04,Rejected
305,87017,13185,4,8345,60,10.4,Rejected
648,34370,20456,26,15263,48,5.77,Rejected
680,56501,11336,1,45033,48,17.5,Rejected
303,62103,25661,17,7842,48,5.42,Rejected
676,38059,4079,19,29042,36,10.63,Approved
626,57779,22674,0,7867,24,5.22,Rejected
686,50535,12902,12,49916,48,9.53,Approved
625,37206,14780,1,27406,60,17.06,Rejected
637,79733,15028,28,30690,60,11.8,Rejected
582,32109,17517,24,42425,48,13.53,Rejected
674,62588,22462,7,21272,24,13.24,Approved
391,80790,22865,17,19813,12,12.17,Rejected
841,48493,12885,28,48717,48,11.61,Approved
427,70024,18356,2,1342,60,13.34,Rejected
324,37912,14837,29,9551,12,7.03,Rejected
623,39365,19813,12,48449,48,7.1,Rejected
600,60980,20290,22,6589,12,12.24,Rejected
572,53574,7960,25,2989,24,5.99,Rejected
531,50098,17639,10,46313,60,13.61,Rejected
390,31662,18320,12,26632,12,12.0,Rejected
516,52091,0,24,13310,12,8.75,Rejected
461,88380,4439,26,33683,60,7.47,Rejected
815,51096,17132,26,43633,12,12.13,Approved
427,60454,15986,25,39143,60,17.78,Rejected
500,24852,5878,23,37416,24,15.2,Rejected
303,30335,15584,17,48314,60,9.94,Rejected
756,53988,13283,3,12620,48,16.03,Approved
612,55457,14381,8,3613,60,16.75,Rejected
512,42534,8044,29,12907,24,12.0,Rejected
769,37157,25121,16,28904,36,5.29,Approved
804,61654,19160,23,20588,36,17.12,Approved
746,73353,11165,4,28909,12,14.37,Approved
490,67846,22225,15,27649,48,15.97,Rejected
547,81812,23568,19,23989,24,16.43,Rejected
618,50110,8438,4,2577,48,10.48,Rejected
716,15153,25514,21,28203,24,12.36,Rejected
305,38914,19540,21,30394,12,5.72,Rejected
835,71334,15844,25,2482,12,9.59,Approved
632,60894,23897,10,24446,48,9.14,Rejected
405,49232,20432,13,26642,36,11.26,Rejected
601,38366,19613,2,3592,12,16.44,Rejected
330,65322,28588,10,23754,60,9.87,Rejected
535,65420,7553,6,20222,60,16.48,Rejected
696,48788,16200,8,20634,60,13.26,Approved
805,52420,7817,25,28847,48,12.46,Approved
467,69068,17288,29,20360,24,7.06,Rejected
497,39575,22084,7,4435,60,9.45,Rejected
341,52575,0,12,5498,12,13.36,Rejected
553,53485,10445,28,7183,36,13.78,Rejected
588,73587,17277,17,46726,60,5.66,Rejected
708,45809,21590,6,40179,48,17.92,Approved
519,26180,23266,18,7558,12,12.72,Rejected
392,60663,3619,0,43389,48,15.91,Rejected
522,51274,16375,29,45422,60,16.19,Rejected
693,45251,5119,1,3762,12,11.18,Rejected
513,30401,14889,8,47248,48,9.91,Rejected
450,24346,0,16,27061,12,8.43,Rejected
554,16847,18855,7,35053,12,17.42,Rejected
426,58936,12806,27,48623,60,13.85,Rejected
479,36125,8625,8,8019,12,5.77,Rejected
759,49452,15936,1,49238,12,11.73,Rejected
318,86262,679,5,23195,24,5.1,Rejected
562,35220,18635,12,28731,12,11.83,Rejected
704,14169,6045,1,27722,24,10.88,Rejected
400,26690,23821,18,40956,12,8.87,Rejected
628,51394,6394,18,32518,12,11.26,Rejected
365,46366,12318,11,27709,36,16.13,Rejected
451,30304,30549,15,45565,36,8.78,Rejected
349,35654,2196,10,28644,36,17.84,Rejected
460,35487,14380,22,25068,12,8.4,Rejected
434,45863,14190,3,29248,48,5.83,Rejected
466,66487,32510,5,26510,12,17.51,Rejected
849,69515,16088,1,42106,12,7.46,Rejected
487,58889,17632,28,26412,48,13.33,Rejected
784,59876,17192,26,32002,48,11.34,Approved
741,61659,20755,18,35769,60,13.99,Approved
311,83504,13067,22,25865,36,12.58,Rejected
836,42296,17342,11,23955,12,8.84,Approved
425,57445,25273,9,47489,48,15.52,Rejected
370,53137,11875,22,11544,36,15.48,Rejected
500,63152,14883,27,19489,24,6.14,Rejected
380,22055,7303,12,47389,48,6.09,Rejected
697,55615,23840,16,46532,48,16.76,Approved
314,42211,1086,15,9239,12,16.07,Rejected
468,46056,18784,15,36565,24,8.93,Rejected
464,76666,10258,0,1804,48,11.86,Rejected
622,43794,27121,5,25804,24,8.1,Rejected
661,61065,4864,9,17384,36,8.54,Approved
357,32657,15552,5,31055,36,16.33,Rejected
403,56566,5460,15,45462,12,7.12,Rejected
667,44192,15994,26,37025,12,13.21,Approved
