ApplicantID,CreditScore,AnnualIncome,ExistingDebts,EmploymentYears,LoanAmount,LoanTermMonths,LoanPurpose,EmploymentType,HomeOwnership,MaritalStatus,Default
10001,652,630225,109254.06,25,397747,12,Education,Self-Employed,Own,Married,0
10002,699,640972,153934.07,17,2066393,36,Education,Unemployed,Rent,Married,0
10003,680,488866,86307.98,19,1812083,36,Business,Salaried,Rent,Divorced,0
10004,794,460308,187541.83,23,215259,24,Personal,Unemployed,Own,Married,0
10005,385,583146,191496.57,19,2366220,12,Education,Salaried,Mortgage,Single,1
10006,358,596187,102103.97,9,138065,60,Home,Self-Employed,Own,Married,0
10007,515,536065,138726.44,6,1274505,60,Business,Self-Employed,Own,Divorced,0
10008,593,601207,183653.62,2,482702,24,Car,Self-Employed,Mortgage,Married,0
10009,465,862508,110889.49,14,856534,24,Education,Self-Employed,Own,Single,0
10010,611,655714,191338.09,16,309151,60,Personal,Self-Employed,Rent,Divorced,0
10011,371,691975,162799.07,2,2352012,60,Home,Self-Employed,Rent,Single,0
10012,770,370127,175458.66,26,2249917,60,Personal,Self-Employed,Mortgage,Divorced,0
10013,648,651786,155259.49,5,257980,24,Business,Salaried,Mortgage,Divorced,0
10014,558,521093,181395.31,17,1263055,12,Personal,Self-Employed,Own,Divorced,0
10015,487,637088,197848.56,16,1288951,12,Business,Self-Employed,Rent,Single,0
10016,367,632126,97588.56,4,1469011,12,Personal,Unemployed,Mortgage,Divorced,1
10017,848,449740,188025.37,5,2270299,36,Business,Unemployed,Mortgage,Married,0
10018,686,704259,135707.41,24,1065622,12,Education,Unemployed,Rent,Married,0
10019,725,550102,103703.65,7,1096717,36,Personal,Self-Employed,Own,Single,0
10020,715,780206,178760.19,2,2125402,24,Business,Salaried,Own,Divorced,0
10021,373,734360,135973.72,9,936028,24,Education,Self-Employed,Own,Divorced,1
10022,330,613291,237487.45,3,2124643,24,Education,Salaried,Own,Single,1
10023,819,747999,204406.76,2,1533376,36,Personal,Self-Employed,Rent,Single,0
10024,668,673227,267744.37,19,1826775,60,Car,Self-Employed,Own,Divorced,0
10025,341,451608,113181.01,16,505631,12,Education,Salaried,Rent,Single,0
10026,433,601340,124639.38,9,1056570,12,Business,Salaried,Rent,Divorced,0
10027,506,720473,114045.27,18,1516835,36,Business,Self-Employed,Mortgage,Single,1
10028,650,567720,129822.7,29,2359290,60,Business,Salaried,Own,Married,0
10029,493,657101,170804.57,11,642834,12,Personal,Unemployed,Rent,Single,0
10030,834,698032,162389.59,5,1040809,36,Business,Salaried,Mortgage,Married,0
10031,828,624636,147764.55,24,1170329,36,Home,Unemployed,Mortgage,Single,0
10032,823,969122,46034.85,6,2180768,36,Education,Self-Employed,Own,Divorced,0
10033,771,738337,159019.77,15,1750333,24,Business,Salaried,Rent,Divorced,0
10034,483,623678,64005.19,22,1595480,60,Business,Salaried,Mortgage,Divorced,1
10035,683,574313,120685.54,3,2156643,36,Home,Salaried,Rent,Married,0
10036,758,659096,118055.13,12,2008759,60,Home,Salaried,Mortgage,Married,0
10037,375,670911,228619.21,12,2033463,12,Business,Unemployed,Rent,Married,1
10038,618,892163,148515.9,26,1690565,36,Education,Unemployed,Mortgage,Divorced,0
10039,514,660533,73200.27,3,834028,36,Personal,Unemployed,Rent,Single,0
10040,841,617454,120763.49,25,142287,24,Education,Unemployed,Mortgage,Married,0
10041,420,624212,130771.76,25,470303,12,Personal,Salaried,Mortgage,Divorced,0
10042,436,587777,169017.36,19,2197522,36,Business,Salaried,Mortgage,Married,0
10043,755,504688,185954.39,16,1195230,24,Personal,Salaried,Mortgage,Married,0
10044,397,525925,148614.68,21,1998004,36,Personal,Salaried,Rent,Married,1
10045,594,603894,190573.64,2,1237813,12,Business,Salaried,Rent,Single,0
10046,505,600867,182595.43,28,1945470,60,Car,Self-Employed,Mortgage,Single,1
10047,450,326647,160630.22,14,473875,24,Business,Salaried,Own,Married,1
10048,800,502328,214225.06,26,717778,12,Education,Salaried,Mortgage,Married,0
10049,731,525798,271955.07,1,1327416,24,Education,Self-Employed,Rent,Married,0
10050,729,578287,107706.11,19,1243911,24,Business,Self-Employed,Mortgage,Divorced,0
10051,510,535951,172519.83,1,1039882,60,Business,Salaried,Rent,Married,1
10052,455,742402,122278.09,28,2045770,12,Education,Self-Employed,Mortgage,Divorced,0
10053,783,695353,148165.58,3,484641,36,Business,Unemployed,Rent,Married,0
10054,491,568944,154035.28,25,201344,24,Home,Salaried,Rent,Divorced,0
10055,659,696905,167274.98,22,2428109,36,Car,Salaried,Mortgage,Single,0
10056,688,643973,147258.05,17,1087354,36,Education,Unemployed,Own,Married,0
10057,681,679970,225179.65,5,1998261,60,Personal,Self-Employed,Own,Divorced,0
10058,675,695810,163698.23,10,2147494,60,Personal,Unemployed,Rent,Married,0
10059,830,668698,258600.81,24,1238199,60,Car,Salaried,Rent,Single,0
10060,418,557774,220619.68,9,2325673,24,Car,Self-Employed,Rent,Single,1
10061,518,334568,129522.51,22,2218277,60,Personal,Self-Employed,Mortgage,Married,1
10062,305,970173,138660.38,4,2411285,24,Car,Unemployed,Own,Married,1
10063,648,443700,184101.19,26,1779568,36,Car,Unemployed,Mortgage,Divorced,0
10064,680,665010,127105.22,1,830537,24,Home,Unemployed,Mortgage,Married,1
10065,303,721036,216635.34,17,827085,60,Car,Self-Employed,Mortgage,Divorced,0
10066,676,480591,81749.75,19,2441979,24,Education,Self-Employed,Own,Married,0
10067,626,677793,197967.45,0,879065,24,Car,Self-Employed,Rent,Married,1
10068,686,605356,136887.76,12,2468300,24,Education,Unemployed,Rent,Single,0
10069,625,472064,148628.96,1,2119759,12,Education,Unemployed,Own,Married,0
10070,637,897339,150180.41,28,1110196,36,Car,Salaried,Own,Single,0
10071,582,421093,165732.15,24,445829,12,Car,Unemployed,Own,Divorced,0
10072,674,725884,196642.81,7,1831379,36,Education,Salaried,Mortgage,Divorced,0
10073,391,907903,199158.11,17,1716304,24,Personal,Self-Employed,Rent,Single,1
10074,841,584937,136782.83,28,1454165,36,Personal,Unemployed,Rent,Divorced,0
10075,427,800244,170980.52,2,248185,60,Home,Self-Employed,Rent,Single,1
10076,324,479124,148985.6,29,601491,12,Car,Salaried,Mortgage,Single,0
10077,623,493657,180081.51,12,1820954,60,Home,Salaried,Rent,Divorced,0
10078,600,709806,183066.35,22,401126,60,Education,Self-Employed,Mortgage,Married,0
10079,572,635745,106002.11,25,796538,12,Business,Unemployed,Mortgage,Single,0
10080,531,600989,166495.53,10,400434,12,Business,Unemployed,Own,Single,0
10081,390,416622,170753.5,12,1838694,24,Home,Salaried,Rent,Married,0
10082,516,620914,50251.05,24,856066,24,Personal,Self-Employed,Rent,Married,0
10083,461,983803,83994.11,26,2019515,24,Education,Self-Employed,Own,Single,0
10084,815,610963,163326.82,26,2282722,12,Business,Unemployed,Own,Single,0
10085,427,704545,156167.28,25,816622,36,Home,Salaried,Mortgage,Single,0
10086,500,348522,92989.45,23,2186331,36,Car,Self-Employed,Own,Single,0
10087,303,403358,153654.15,17,1749628,12,Education,Self-Employed,Own,Divorced,0
10088,756,639885,139271.98,3,485605,60,Education,Self-Employed,Rent,Divorced,0
10089,612,654576,146136.5,8,1625626,24,Education,Self-Employed,Rent,Divorced,0
10090,512,525343,106530.07,29,2211353,60,Education,Salaried,Rent,Single,1
10091,769,471578,213260.65,16,1452317,12,Education,Unemployed,Rent,Single,0
10092,804,716546,176003.8,23,1787989,60,Business,Unemployed,Own,Divorced,0
10093,746,833538,126036.26,4,687447,36,Car,Unemployed,Mortgage,Single,0
10094,490,778463,195157.81,15,1474494,60,Car,Self-Employed,Mortgage,Single,0
10095,547,918124,203551.07,19,989699,36,Car,Self-Employed,Own,Divorced,0
10096,618,601106,108992.68,4,2174883,12,Home,Unemployed,Mortgage,Single,0
10097,716,251535,215715.93,21,142258,36,Education,Unemployed,Mortgage,Married,1
10098,305,489149,178381.04,21,1531748,12,Personal,Unemployed,Rent,Divorced,0
10099,835,813348,155277.65,25,1092275,12,Personal,Self-Employed,Own,Married,0
10100,632,708946,205606.28,10,1349312,24,Car,Unemployed,Own,Married,0
10101,405,592322,183953.97,13,371465,36,Car,Salaried,Rent,Married,0
10102,601,483669,178836.74,2,2240332,60,Car,Unemployed,Rent,Single,0
10103,330,753223,234930.95,10,794964,36,Personal,Self-Employed,Own,Married,1
10104,535,754205,103460.81,6,1782184,36,Business,Self-Employed,Rent,Single,0
10105,696,587882,157504.08,8,2139109,24,Personal,Salaried,Rent,Married,0
10106,805,624200,105111.27,25,861844,12,Education,Self-Employed,Own,Divorced,0
10107,467,790680,164300.08,29,1320049,24,Home,Self-Employed,Mortgage,Married,0
10108,497,495759,194280.29,7,531707,60,Car,Unemployed,Rent,Divorced,1
10109,341,625750,27222.16,12,2061612,24,Car,Salaried,Rent,Divorced,1
10110,553,634854,121534.45,28,582527,24,Personal,Salaried,Mortgage,Married,1
10111,588,835875,164236.02,17,238670,24,Business,Self-Employed,Mortgage,Divorced,1
10112,708,558097,191189.23,6,1713204,24,Car,Unemployed,Mortgage,Single,0
10113,519,361806,201667.45,18,1415991,60,Business,Salaried,Mortgage,Single,1
10114,392,706631,78869.76,0,2491216,12,Home,Unemployed,Mortgage,Divorced,1
10115,522,612741,158599.68,29,997559,24,Car,Unemployed,Own,Divorced,1
10116,693,552516,88247.55,1,1208574,12,Personal,Self-Employed,Own,Divorced,0
10117,513,404011,149311.37,8,610313,36,Car,Salaried,Own,Divorced,0
10118,450,343462,52551.34,16,1134415,24,Education,Self-Employed,Rent,Divorced,0
