Temperature (F),Pressure (psi),Vibration (mm/s),Humidity (%),Noise Level (dB),Usage Hours,Maintenance Frequency (per year),Power Fluctuations (per month),Machine Age (Years),Operator Experience,Failure Type
64.78266156635878,33.94895874121161,0.5941932307406033,69.56147272212392,78.41624808259299,6221,4,2,6,Medium,Leakage
66.83186908367065,26.529660719770202,0.32201854557932674,67.89174335343961,63.71803318028515,5786,1,0,10,Medium,Bearing Failure
96.52195704869035,35.1388925739793,0.6687393662359581,41.41193199399771,74.59453451135339,9683,3,3,6,High,No Failure
76.18936263602785,30.900788712772417,0.4480633092716325,20.859842569927487,81.083204476673,5486,4,1,3,Low,Leakage
77.11932985112875,20.416276939819,0.44801003925141797,73.08869902440833,65.86723766400338,6850,7,0,6,Low,Bearing Failure
82.28346089586321,23.910928016192837,0.6323825230320047,69.67928229052428,68.44553630482493,2229,6,1,6,High,No Failure
83.06691804921918,28.040052366759287,0.27520739420483153,25.316063459420434,68.02746349730148,4550,7,2,6,Medium,No Failure
82.02535330408452,35.26137212155693,0.529631636278999,59.78221425826226,70.95910879260204,9817,2,2,10,Medium,No Failure
63.22810738687799,28.04218824824027,0.47906774581908984,53.40514040688264,79.8137729290669,1472,5,3,12,Low,No Failure
56.40710039061001,35.44984421110466,0.3766521402051842,71.7933145501484,68.42849164246125,1999,5,1,1,High,Overheating
56.67721654457814,20.43300091199253,0.5587514711269246,79.76806956422348,72.99534798491881,1305,7,3,11,High,No Failure
83.80689784117924,20.051965687524564,0.47138838610387523,71.98046848275072,64.29922739922733,8507,9,2,7,Medium,No Failure
68.10888891692068,29.778057430883653,0.6087600665191092,71.66996680277452,72.69996552779224,7698,4,1,10,Low,No Failure
83.30901194270918,34.329296297470265,0.4543929837015488,54.91945656267431,65.374959626449,3609,1,0,7,High,No Failure
79.08125813243807,27.185609359447778,0.5580227991374669,78.68167953843661,64.23483519799557,2863,2,5,7,Medium,No Failure
57.24411899131431,39.09727160014766,0.5444649983488227,72.0359250749975,70.05582279345914,9008,8,5,3,Low,No Failure
66.13478012526197,28.291682293648332,0.5274822229176698,72.52973926619786,71.86970101029085,8211,3,3,6,High,No Failure
75.80236476234336,29.655861239201954,0.4921185838579092,30.934150973256656,66.21434796901625,2507,3,2,14,Medium,No Failure
78.46577865165564,27.49353173689118,0.5561235842989305,34.34566251976952,72.0952231020531,8655,9,0,3,Medium,No Failure
84.03638815828286,35.15487918073619,0.45198305383418635,58.61918771296072,79.98167685544884,4737,3,3,6,Medium,Bearing Failure
82.90193212233528,28.590018173087582,0.35734672869885237,55.87295383820034,73.78764191316192,7485,8,1,8,Medium,Bearing Failure
66.1385454525556,30.187764198860084,0.5401570466951149,72.33132767315436,74.95754118474406,6667,1,0,7,Medium,Leakage
70.78413068664501,39.569135898174274,0.7131610626590812,52.39082570083555,73.44882179001691,7213,9,0,8,Medium,Leakage
59.36273492449528,35.40118796344658,0.4567997947990504,72.25636940442666,70.34307437001891,6417,8,2,7,High,No Failure
81.05668916384883,31.962551988265613,0.6086651318466957,57.46035694870978,60.623821519468656,7635,5,0,3,Medium,No Failure
78.53974264766143,20.17097750863594,0.5190733258343136,71.96418201302029,71.84486525049365,2805,6,1,3,High,No Failure
79.15872153905649,25.012406763330493,0.5685641866439771,67.53652268429215,61.438347869126375,6885,4,1,11,High,No Failure
79.41180986664126,30.845826315988788,0.5743020514694064,31.885555581339382,67.55436233540698,6253,8,1,14,Low,No Failure
75.54318708891999,35.13043141909639,0.5290284117609366,41.301911024598354,74.26175545322604,6567,1,4,12,High,No Failure
77.96197821564229,31.992263811708128,0.5855118861230294,29.215282272610835,62.588138348649515,9826,3,5,4,High,No Failure
73.63813114352315,23.48571455228472,0.5754235920169528,69.43684869336244,72.55310233311721,600,6,0,6,High,No Failure
72.582086817588,31.722029861635143,0.47019260133117485,53.59433822209516,72.33927242060895,3367,7,4,6,Medium,No Failure
84.93855754469153,32.69953977490431,0.60050608024182,42.98359770581166,76.41083453835009,3091,4,5,9,Low,Bearing Failure
71.9305197978394,31.909947075067585,0.3994382272506072,58.518825531344085,72.26224232951249,7964,3,1,5,Medium,No Failure
77.0310431084748,21.294874806994702,0.5030354786957255,33.96670714585779,76.81102861053182,1898,7,2,11,Low,No Failure
77.02219534207673,29.762513546989567,0.5255515948183718,78.60156829564497,75.58597210009872,5613,5,2,3,High,No Failure
66.83552367495238,25.227958453496797,0.5358549435276093,38.34671989493486,70.16588263906563,6971,1,1,5,Medium,No Failure
47.544804815667604,24.472837124417257,0.6037066193756706,52.723723947827736,71.04235523806192,7015,4,2,12,Medium,No Failure
65.30323930485451,29.136782087411902,0.6100987705812576,63.29611692182822,60.065328221637174,362,6,1,8,Medium,Electrical Fault
83.07305518155346,29.206546715937794,0.5403324770133172,77.34276694426505,70.32728151405794,8687,3,2,3,Medium,No Failure
66.96274828655407,35.22202764305329,0.43074991004420377,55.245364659079286,69.91295760500013,6009,2,3,12,High,No Failure
82.03631074671578,30.992499351060413,0.5347075687984812,31.309744191316206,68.69556162028519,7477,7,1,1,Low,Electrical Fault
74.10996939019222,24.17701264469956,0.5455359765456732,23.35418094429547,69.16638872147004,5790,8,3,14,Medium,Leakage
55.886546075356215,18.846262845757877,0.5219702034794375,60.60615968451155,66.01824652443702,1299,5,0,3,Low,Electrical Fault
65.54989715970326,31.32235400012889,0.4675432539067413,25.39416652363831,76.43427023112334,4791,4,0,5,Medium,Overheating
77.8820249642748,31.68138230316314,0.5423954075892108,71.31400264982432,74.85973028669298,7866,5,3,5,Low,No Failure
89.30866371557329,43.20621191948268,0.43951759515969,55.29271712342626,73.18191404479586,389,3,2,11,High,No Failure
83.93948457865827,31.74437096143188,0.4549676453813205,49.99720047727274,67.31609682178163,6625,6,1,3,Medium,No Failure
57.839015358757266,30.638273857295683,0.5579322734664652,59.486505071698225,70.93096205622827,8587,4,0,7,Low,Bearing Failure
91.57653864665323,24.53399909409577,0.6558770924158734,42.811759681663574,69.71881434714439,2667,5,0,4,Low,No Failure
74.2941426360606,26.056432308837376,0.4726561407248883,58.91399696228787,68.89339517940577,3391,7,2,9,Medium,Overheating
80.77218727082644,26.54850830112962,0.5822596076939794,39.074078175416396,61.688621386448375,1700,9,2,3,Low,Leakage
68.22637418867077,28.271385873976065,0.4373469021618321,57.34068053452504,72.54541720757736,5895,4,2,6,Medium,No Failure
84.82812561042232,29.085220125112993,0.39827329565343866,54.667770871215836,67.94040124138198,7147,6,3,3,Medium,No Failure
74.92021424118063,26.108800845369668,0.4847021892304168,29.561940695794693,76.67255517881928,3962,6,2,5,High,No Failure
59.9177181649013,26.92169413086981,0.31909274427575096,27.422301033941963,74.35207803563478,9476,1,1,12,Low,Bearing Failure
77.05091801603945,25.088269057393134,0.5651494994360707,77.79306851245337,75.5868584158008,8893,9,5,9,High,No Failure
57.04952786860926,29.410893543405564,0.37158147926648943,31.35830436656071,72.03169002856336,2677,4,2,6,High,No Failure
88.64275643451128,32.135652405640336,0.48281827819237866,58.47817763856273,69.59084222845438,2533,4,3,12,High,Electrical Fault
76.45027060216668,26.08536362622666,0.3318291948098218,73.46044777765763,71.59800644295792,1308,1,0,2,Medium,No Failure
83.06644832683034,30.070562070701204,0.5057054821866255,50.15911819026531,67.33729353975703,8600,2,1,11,Medium,No Failure
79.21451471650633,29.049755106194354,0.43167573700348744,56.538244197500184,60.95471953342075,9253,5,2,8,Medium,No Failure
70.87086567832819,28.0592992246342,0.5455148280753593,48.608297616410766,71.9088785519347,1481,1,1,10,Medium,Bearing Failure
60.94353346720217,41.582322011007136,0.5849158548454971,37.91024766086289,71.56136899376496,6750,5,2,10,Medium,No Failure
75.62791714590678,28.45945869414005,0.7333207409436374,57.36133968355194,71.5032777273035,7565,6,2,11,High,No Failure
74.58819376558857,19.045977259661207,0.4749418217631434,20.574986061684776,77.87375910386919,1193,5,1,8,Low,No Failure
76.63553863510808,25.726737125507192,0.6083348263642947,36.953081581330856,67.45648671389772,8157,9,4,8,Low,Leakage
73.57366386690875,25.64948113485197,0.525588888246912,35.61348698891798,71.6393221931885,2683,1,3,4,Medium,No Failure
67.27508245869129,30.84225271369925,0.6156613337683785,50.11449861085488,74.03598865717386,6842,8,6,8,Low,No Failure
55.40844750451266,36.04013683974718,0.2830313998649092,79.84658076961473,72.87102531737159,159,3,1,11,High,Leakage
67.42152743848371,30.62263688088383,0.36532805496112497,29.20380063292118,71.75247498794553,7323,7,2,11,High,Overheating
82.76076998814,31.117818688160202,0.3816334754639541,20.163617420592466,61.9756460968836,6140,2,0,1,High,No Failure
68.92553168139335,33.14131785747338,0.5905792020337532,37.590533455899674,68.57920144881959,7773,5,2,13,High,No Failure
