,Date,Channel,Region,Ad_Spend,Impressions,Clicks,Conversions,Revenue,CTR,Conversion_Rate
0,2025-01-01,Facebook,East,35072,324422,12194,1177,487278,4,10
1,2025-01-01,YouTube,North,15612,434523,5654,2927,2517220,1,52
2,2025-01-01,Instagram,East,5582,65898,9991,761,318859,15,8
3,2025-01-02,YouTube,East,21320,105984,7077,2505,2367225,7,35
4,2025-01-04,YouTube,South,10838,298801,16150,2179,1717052,5,13
5,2025-01-04,YouTube,East,43291,398412,7058,296,248936,2,4
6,2025-01-04,Google Ads,East,35386,181735,3456,1384,358456,2,40
7,2025-01-04,Facebook,North,8894,460986,3146,614,264020,1,20
8,2025-01-04,Facebook,West,9235,187005,4593,362,342814,2,8
9,2025-01-04,Instagram,North,43856,168398,3376,1250,1118750,2,37
10,2025-01-05,Email,North,20905,140356,13457,2394,1036602,10,18
11,2025-01-05,YouTube,East,37425,440900,8142,760,247760,2,9
12,2025-01-06,YouTube,North,31158,165902,12371,2759,2618291,7,22
13,2025-01-06,Instagram,North,39584,290800,19220,1139,831470,7,6
14,2025-01-06,Instagram,North,27906,240755,17996,841,716532,7,5
15,2025-01-07,YouTube,North,38206,166092,12078,1134,893592,7,9
16,2025-01-08,Email,East,19059,230427,8398,1431,1385208,4,17
17,2025-01-08,Instagram,West,35292,333196,11675,192,165696,4,2
18,2025-01-08,Google Ads,East,35324,41554,15033,485,332710,36,3
19,2025-01-09,Facebook,South,31116,218089,11517,2756,1124448,5,24
20,2025-01-10,Google Ads,East,14330,353431,5931,2024,1414776,2,34
21,2025-01-10,Instagram,North,25345,28325,16648,2684,832040,59,16
22,2025-01-11,Facebook,South,44416,344605,2627,2154,775440,1,82
23,2025-01-11,YouTube,North,25340,298987,12297,271,262599,4,2
24,2025-01-12,Google Ads,East,45842,409365,10945,1629,1128897,3,15
25,2025-01-12,Google Ads,South,45964,24851,9527,1537,630170,38,16
26,2025-01-12,YouTube,East,41327,352741,16266,2902,1865986,5,18
27,2025-01-13,YouTube,South,8392,169471,4961,1363,815074,3,27
28,2025-01-14,Instagram,East,42390,431712,10594,513,365256,2,5
29,2025-01-14,Facebook,East,39611,463218,10937,2674,1074948,2,24
30,2025-01-15,YouTube,North,37271,363374,9298,1450,988900,3,16
31,2025-01-15,Facebook,North,20199,162462,17658,2885,2218565,11,16
32,2025-01-15,YouTube,North,32012,270623,15903,1867,539563,6,12
33,2025-01-16,Instagram,North,36214,485706,15549,2019,1088241,3,13
34,2025-01-17,Instagram,North,44450,456729,12920,1289,444705,3,10
35,2025-01-17,Email,North,13260,355026,5862,1656,569664,2,28
36,2025-01-17,Facebook,East,43452,213976,1612,1205,986895,1,75
37,2025-01-17,Email,West,21097,20625,2411,494,345306,12,20
38,2025-01-18,Email,West,40332,272227,18876,2096,498848,7,11
39,2025-01-19,Google Ads,West,7350,41771,8864,2524,2019200,21,28
40,2025-01-19,Google Ads,East,22505,454470,19639,2809,2047761,4,14
41,2025-01-19,YouTube,North,40623,179929,13012,847,315931,7,7
42,2025-01-19,Facebook,South,43717,442214,2918,2691,548964,1,92
43,2025-01-19,Instagram,East,29144,248870,7640,74,44992,3,1
44,2025-01-19,Instagram,South,35554,181705,9840,1848,1419264,5,19
45,2025-01-19,Facebook,West,25048,209281,17289,1735,919550,8,10
46,2025-01-20,Google Ads,East,47601,400956,18422,2940,1960980,5,16
47,2025-01-21,YouTube,East,11333,185515,13337,1937,1667757,7,15
