Crop Type,Pest Type,Pest Size (mm),Pest Color,Affected Area (%),Crop Stage,Pest Behavior,Detection Time (Days Since Sowing),Previous Infestation,"Pest Detected (1=Yes, 0=No)"
Tomato,None,0.5,Green,48.15,Vegetative,Slow-moving,16,0,0
Wheat,Aphids,1.6,White,24.43,Seedling,Fast-moving,3,1,1
Rice,Thrips,1.07,Brown,89.49,Flowering,Clustered,4,1,1
Rice,Thrips,3.23,Yellow,64.17,Seedling,Clustered,22,1,1
Tomato,Thrips,2.29,Yellow,54.54,Flowering,Fast-moving,24,1,1
Rice,None,0.5,Black,45.61,Maturity,Clustered,11,1,0
Potato,None,3.06,Green,6.13,Vegetative,Scattered,7,1,0
Tomato,Aphids,2.2,Yellow,25.01,Flowering,Clustered,15,1,1
Chili,None,2.25,Green,71.63,Vegetative,Slow-moving,28,1,0
Maize,Aphids,1.61,White,23.65,Vegetative,Scattered,14,1,1
Wheat,Leafhoppers,3.01,White,13.28,Seedling,Fast-moving,19,0,1
Cotton,None,0.5,Brown,20.31,Vegetative,Clustered,24,1,0
Tomato,Leafhoppers,0.51,White,16.62,Maturity,Scattered,4,1,1
Chili,Whiteflies,2.1,Black,2.29,Vegetative,Scattered,22,0,1
Chili,Leafhoppers,2.41,White,8.1,Vegetative,Scattered,4,0,1
Cotton,Mites,2.59,Yellow,44.94,Maturity,Fast-moving,9,1,1
Tomato,None,1.41,Black,62.45,Seedling,Slow-moving,18,1,0
Wheat,Aphids,3.3,White,67.91,Vegetative,Slow-moving,9,1,1
Chili,Caterpillars,2.45,Black,11.97,Seedling,Scattered,12,0,1
Potato,None,2.99,Brown,2.93,Maturity,Clustered,8,1,0
Maize,Aphids,2.49,Brown,5.33,Maturity,Slow-moving,19,1,1
Rice,Caterpillars,2.85,Brown,43.01,Vegetative,Scattered,10,1,1
Wheat,Whiteflies,1.34,Green,20.86,Flowering,Fast-moving,6,1,1
Rice,Leafhoppers,2.92,Black,31.92,Flowering,Slow-moving,5,0,1
Wheat,Caterpillars,2.59,White,89.16,Flowering,Slow-moving,29,1,1
Maize,Thrips,3.27,Yellow,76.31,Maturity,Slow-moving,24,0,1
Wheat,Mites,0.5,White,22.12,Maturity,Scattered,20,1,1
Maize,Mites,1.41,Yellow,7.41,Maturity,Fast-moving,25,0,1
Rice,Leafhoppers,3.56,Black,22.7,Seedling,Clustered,19,1,1
Wheat,Thrips,3.91,Black,77.03,Maturity,Clustered,11,0,1
Tomato,Caterpillars,3.9,Yellow,64.09,Seedling,Scattered,24,0,1
Cotton,Mites,2.25,Brown,29.62,Flowering,Fast-moving,26,0,1
Potato,Whiteflies,2.16,Brown,84.03,Maturity,Slow-moving,13,1,1
Cotton,Caterpillars,2.84,Brown,10.65,Vegetative,Clustered,27,0,1
Potato,Leafhoppers,0.83,Yellow,1.98,Maturity,Clustered,21,1,1
Cotton,Caterpillars,0.63,Green,34.23,Seedling,Slow-moving,23,0,1
Potato,Leafhoppers,2.28,White,42.47,Flowering,Clustered,21,0,1
Maize,Whiteflies,4.05,White,61.39,Vegetative,Slow-moving,11,0,1
Tomato,Thrips,0.51,Black,70.91,Maturity,Scattered,7,0,1
Wheat,Thrips,2.09,Green,47.04,Seedling,Slow-moving,28,0,1
Cotton,Caterpillars,2.29,Yellow,48.36,Flowering,Scattered,29,0,1
Chili,Leafhoppers,1.27,Green,47.95,Flowering,Scattered,24,1,1
Potato,Caterpillars,1.15,Black,31.86,Maturity,Clustered,20,0,1
Potato,Thrips,3.55,White,8.87,Vegetative,Slow-moving,3,1,1
Rice,Caterpillars,1.78,Yellow,66.96,Flowering,Slow-moving,16,0,1
Cotton,Whiteflies,2.93,Black,41.25,Vegetative,Scattered,17,1,1
Potato,None,0.5,Green,4.95,Maturity,Slow-moving,22,1,0
Tomato,Thrips,1.04,Black,62.58,Maturity,Scattered,2,0,1
Chili,Thrips,1.62,Green,30.55,Maturity,Slow-moving,26,1,1
Cotton,Caterpillars,3.29,White,11.86,Maturity,Slow-moving,3,1,1
Maize,Mites,0.71,Black,22.68,Maturity,Fast-moving,29,1,1
Tomato,Caterpillars,1.3,Black,52.62,Maturity,Scattered,25,1,1
Cotton,Caterpillars,2.29,Green,81.67,Seedling,Slow-moving,6,1,1
Maize,None,3.95,Black,17.58,Seedling,Slow-moving,13,0,0
Maize,Leafhoppers,1.64,Brown,82.26,Seedling,Fast-moving,15,0,1
Potato,Aphids,2.08,Green,88.78,Seedling,Slow-moving,23,0,1
Wheat,Whiteflies,0.5,Black,77.11,Maturity,Clustered,19,0,1
Chili,None,0.78,Green,89.43,Vegetative,Fast-moving,13,1,0
Maize,Thrips,2.69,Brown,54.27,Vegetative,Slow-moving,7,0,1
Cotton,None,2.37,Black,89.85,Seedling,Scattered,8,1,0
Potato,None,0.5,Black,33.79,Maturity,Fast-moving,24,0,0
Potato,Whiteflies,2.98,Green,77.13,Flowering,Clustered,22,0,1
Chili,Whiteflies,1.79,Green,22.91,Maturity,Slow-moving,7,0,1
Potato,Caterpillars,2.21,Black,63.58,Vegetative,Clustered,12,0,1
Tomato,Caterpillars,2.72,Brown,62.53,Maturity,Fast-moving,12,1,1
Tomato,None,2.92,Black,3.24,Maturity,Clustered,14,0,0
Cotton,None,2.03,Brown,27.14,Seedling,Fast-moving,9,0,0
Cotton,None,2.5,Green,49.43,Maturity,Fast-moving,2,1,0
Cotton,Thrips,1.79,Green,46.98,Vegetative,Fast-moving,13,1,1
Maize,Thrips,1.79,Green,75.99,Vegetative,Clustered,15,0,1
Potato,Leafhoppers,1.99,Brown,63.51,Maturity,Slow-moving,29,1,1
Tomato,Thrips,1.91,Green,12.61,Maturity,Scattered,11,0,1
Chili,Aphids,2.03,Brown,9.79,Seedling,Clustered,29,1,1
Potato,Thrips,2.83,Yellow,69.58,Flowering,Slow-moving,14,0,1
Tomato,Caterpillars,1.14,Brown,56.74,Maturity,Slow-moving,7,1,1
Potato,Whiteflies,2.0,Yellow,62.65,Vegetative,Scattered,4,1,1
Rice,None,2.77,Brown,44.61,Flowering,Clustered,19,1,0
Rice,Aphids,3.0,Yellow,87.64,Flowering,Scattered,3,0,1
Chili,Mites,2.16,White,42.43,Vegetative,Scattered,13,0,1
Wheat,Caterpillars,2.51,Green,76.22,Maturity,Slow-moving,15,1,1
Chili,Aphids,2.79,White,27.01,Seedling,Clustered,3,0,1
Tomato,Mites,2.51,Yellow,19.12,Flowering,Fast-moving,24,1,1
Maize,Thrips,0.92,Green,28.78,Maturity,Slow-moving,10,0,1
Potato,Aphids,1.35,White,89.41,Seedling,Scattered,28,0,1
Maize,Caterpillars,0.5,Brown,22.08,Flowering,Clustered,10,1,1
Maize,Mites,2.11,Green,28.99,Seedling,Clustered,5,0,1
Tomato,Leafhoppers,1.77,Green,71.25,Flowering,Clustered,26,1,1
Rice,Caterpillars,1.02,Green,64.03,Vegetative,Scattered,9,0,1
Rice,Leafhoppers,3.48,Black,37.42,Flowering,Fast-moving,29,1,1
Maize,Thrips,1.3,Green,61.42,Maturity,Scattered,25,1,1
Rice,Caterpillars,1.25,Green,29.39,Flowering,Scattered,1,0,1
Chili,None,3.65,Yellow,32.18,Seedling,Clustered,17,1,0
Wheat,Aphids,2.24,Yellow,51.41,Seedling,Scattered,25,0,1
Rice,Mites,2.28,Yellow,79.13,Maturity,Scattered,20,0,1
Tomato,Whiteflies,2.52,White,6.97,Maturity,Scattered,29,1,1
Tomato,Leafhoppers,0.5,White,80.56,Seedling,Clustered,1,0,1
Wheat,Leafhoppers,1.04,Green,65.98,Vegetative,Slow-moving,18,0,1
Chili,Aphids,0.99,Green,20.12,Maturity,Fast-moving,4,0,1
Potato,Mites,0.5,Black,83.8,Maturity,Clustered,3,1,1
Wheat,Aphids,2.46,White,53.45,Flowering,Clustered,16,1,1
Chili,Leafhoppers,2.74,Black,22.5,Vegetative,Scattered,29,0,1
Rice,Caterpillars,1.98,Brown,29.89,Seedling,Clustered,12,1,1
Maize,Thrips,0.82,White,89.13,Vegetative,Fast-moving,23,0,1
Rice,Caterpillars,2.41,Brown,86.44,Maturity,Clustered,2,0,1
Rice,Caterpillars,0.55,Green,88.77,Vegetative,Fast-moving,25,0,1
Maize,Leafhoppers,1.31,Black,12.71,Vegetative,Clustered,17,1,1
Tomato,Whiteflies,1.39,Yellow,37.5,Flowering,Slow-moving,29,1,1
Potato,Caterpillars,4.46,Brown,6.3,Vegetative,Clustered,7,0,1
Wheat,Leafhoppers,1.57,Brown,48.84,Maturity,Fast-moving,17,0,1
Potato,Thrips,0.87,Yellow,2.01,Maturity,Slow-moving,3,1,1
Chili,Aphids,0.88,Yellow,16.12,Flowering,Clustered,14,1,1
Chili,Caterpillars,1.78,Green,57.98,Maturity,Slow-moving,11,0,1
Rice,Whiteflies,4.29,Brown,1.83,Vegetative,Slow-moving,11,1,1
Cotton,Mites,0.63,White,70.54,Maturity,Slow-moving,10,1,1
Cotton,Aphids,3.61,Black,80.68,Vegetative,Slow-moving,18,1,1
Cotton,None,0.77,Brown,83.97,Seedling,Fast-moving,15,0,0
Maize,Thrips,1.94,Green,64.77,Vegetative,Slow-moving,9,1,1
Wheat,None,3.07,Black,81.52,Seedling,Fast-moving,12,0,0
Potato,Whiteflies,2.37,White,50.0,Vegetative,Scattered,25,1,1
Tomato,None,2.12,Black,81.59,Seedling,Fast-moving,10,0,0
Cotton,Mites,1.2,Brown,69.07,Vegetative,Fast-moving,25,1,1
Maize,Whiteflies,2.74,Green,12.23,Seedling,Clustered,15,1,1
Tomato,Caterpillars,1.88,Brown,88.4,Vegetative,Scattered,2,0,1
Cotton,Mites,0.5,Black,24.56,Vegetative,Slow-moving,5,1,1
Maize,Mites,1.76,Green,38.48,Vegetative,Slow-moving,7,0,1
Maize,Aphids,0.9,Green,17.52,Flowering,Scattered,18,0,1
Chili,Whiteflies,1.18,Black,85.0,Maturity,Fast-moving,19,1,1
Maize,None,3.77,Black,15.44,Maturity,Clustered,5,1,0
Tomato,Thrips,1.82,White,66.95,Seedling,Clustered,15,1,1
Maize,Whiteflies,1.27,Black,41.14,Seedling,Scattered,18,0,1
Rice,Leafhoppers,4.4,Black,19.23,Vegetative,Fast-moving,1,0,1
Tomato,Mites,1.25,Green,16.87,Flowering,Fast-moving,16,1,1
Tomato,Mites,0.52,Yellow,86.08,Vegetative,Scattered,23,1,1
Wheat,Mites,3.99,Yellow,57.04,Maturity,Fast-moving,21,1,1
Chili,None,2.19,Black,20.35,Seedling,Scattered,18,1,0
Wheat,Thrips,3.38,Green,64.36,Flowering,Scattered,8,0,1
Rice,Aphids,0.5,Yellow,49.85,Vegetative,Fast-moving,24,1,1
Tomato,Thrips,0.94,Black,27.15,Seedling,Scattered,15,1,1
Cotton,Leafhoppers,3.27,White,34.96,Vegetative,Scattered,15,1,1
Maize,Mites,2.2,Green,17.67,Seedling,Scattered,20,0,1
Tomato,Caterpillars,1.28,Black,80.15,Maturity,Slow-moving,22,1,1
Cotton,Thrips,0.76,White,45.48,Maturity,Clustered,12,1,1
Maize,Mites,2.77,Yellow,29.36,Vegetative,Clustered,19,0,1
Wheat,Caterpillars,1.82,Black,87.15,Seedling,Slow-moving,9,1,1
Cotton,Caterpillars,1.04,Green,18.21,Maturity,Clustered,24,1,1
Tomato,Mites,1.73,Black,72.56,Seedling,Fast-moving,3,1,1
Tomato,Mites,1.25,Yellow,14.3,Flowering,Scattered,6,1,1
Maize,Whiteflies,1.13,Yellow,14.6,Vegetative,Fast-moving,17,0,1
Rice,Leafhoppers,0.54,Green,49.35,Vegetative,Clustered,3,0,1
Chili,Whiteflies,2.9,Green,7.66,Vegetative,Slow-moving,12,0,1
Cotton,Whiteflies,1.87,White,60.72,Seedling,Scattered,10,1,1
Tomato,Mites,3.03,Brown,69.87,Maturity,Fast-moving,9,0,1
Wheat,Thrips,3.73,Green,76.22,Vegetative,Scattered,15,1,1
Potato,Thrips,2.05,White,23.45,Maturity,Fast-moving,16,1,1
Cotton,Aphids,3.99,Black,70.94,Seedling,Clustered,13,1,1
Wheat,Whiteflies,3.0,Green,89.94,Maturity,Slow-moving,9,0,1
Potato,Whiteflies,1.61,Yellow,83.32,Maturity,Slow-moving,17,0,1
Potato,Whiteflies,3.17,Green,84.69,Maturity,Fast-moving,25,1,1
Tomato,Aphids,0.99,Green,82.1,Vegetative,Slow-moving,11,0,1
Chili,Leafhoppers,2.1,Black,11.94,Maturity,Scattered,29,0,1
Wheat,Aphids,2.93,Black,7.46,Flowering,Fast-moving,28,0,1
Rice,Caterpillars,2.36,Green,8.2,Flowering,Fast-moving,27,0,1
Rice,None,2.6,Green,66.19,Vegetative,Scattered,5,1,0
Cotton,Whiteflies,3.22,Green,14.2,Flowering,Clustered,15,1,1
Chili,Aphids,4.21,White,4.22,Maturity,Scattered,22,0,1
Potato,Thrips,1.76,Green,54.94,Vegetative,Scattered,27,0,1
Cotton,Caterpillars,2.69,Yellow,16.13,Vegetative,Fast-moving,21,0,1
Cotton,Thrips,0.61,Green,58.15,Seedling,Slow-moving,10,1,1
Rice,None,1.94,Yellow,30.88,Flowering,Scattered,25,0,0
Maize,Mites,1.73,Brown,12.3,Vegetative,Clustered,24,0,1
Rice,Aphids,2.83,Yellow,71.01,Vegetative,Clustered,5,1,1
Cotton,Mites,1.95,Green,59.65,Flowering,Fast-moving,13,0,1
Wheat,Caterpillars,2.32,Green,54.46,Maturity,Fast-moving,20,1,1
Chili,Caterpillars,2.57,Brown,74.72,Seedling,Scattered,5,1,1
Chili,Aphids,0.79,Brown,35.45,Seedling,Scattered,17,0,1
Maize,Mites,3.59,Yellow,3.65,Seedling,Clustered,16,0,1
Wheat,Aphids,1.62,Green,34.65,Flowering,Scattered,27,1,1
Wheat,Aphids,2.68,White,28.41,Maturity,Fast-moving,19,0,1
Cotton,Caterpillars,0.5,Brown,60.04,Seedling,Scattered,6,1,1
Wheat,Aphids,2.2,Black,41.01,Vegetative,Scattered,28,0,1
Chili,Mites,4.01,Black,49.32,Maturity,Clustered,20,0,1
Wheat,Leafhoppers,2.82,Green,34.23,Maturity,Fast-moving,11,1,1
Cotton,Aphids,2.49,Brown,84.42,Flowering,Slow-moving,27,1,1
Tomato,Thrips,3.08,Black,49.06,Seedling,Scattered,1,1,1
Tomato,Mites,2.55,Black,78.43,Flowering,Scattered,10,1,1
Rice,Mites,2.62,Black,79.96,Vegetative,Clustered,24,0,1
Maize,Thrips,1.84,Black,44.5,Vegetative,Slow-moving,14,0,1
Rice,Mites,2.09,White,23.15,Maturity,Fast-moving,22,1,1
Maize,Mites,0.86,White,49.52,Maturity,Slow-moving,5,1,1
Wheat,Mites,3.45,Green,50.32,Seedling,Clustered,9,0,1
Potato,Mites,3.27,White,49.07,Seedling,Fast-moving,6,1,1
Wheat,None,1.11,White,70.03,Vegetative,Clustered,10,0,0
Cotton,Leafhoppers,3.67,Green,38.57,Vegetative,Scattered,29,0,1
Cotton,Aphids,1.97,Yellow,66.25,Flowering,Scattered,2,1,1
Rice,Thrips,1.03,White,37.12,Seedling,Scattered,11,0,1
Chili,Whiteflies,2.47,White,10.89,Flowering,Slow-moving,5,1,1
Chili,Aphids,1.41,Brown,84.5,Flowering,Clustered,16,1,1
Potato,Caterpillars,1.27,Yellow,74.16,Vegetative,Slow-moving,27,0,1
Potato,Thrips,1.41,Green,82.45,Flowering,Clustered,21,1,1
Potato,Thrips,2.73,Brown,57.11,Flowering,Slow-moving,9,0,1
Maize,Mites,2.37,Green,17.94,Maturity,Slow-moving,1,0,1
Maize,Leafhoppers,1.94,Green,11.82,Vegetative,Slow-moving,10,1,1
Wheat,Leafhoppers,0.59,White,50.58,Seedling,Slow-moving,9,0,1
Wheat,Whiteflies,2.32,Green,76.12,Vegetative,Clustered,15,1,1
Rice,None,2.64,Yellow,23.06,Seedling,Fast-moving,9,1,0
Rice,Thrips,3.03,Black,80.39,Vegetative,Slow-moving,14,1,1
Potato,Aphids,5.28,Brown,14.48,Vegetative,Clustered,6,1,1
Rice,Leafhoppers,3.16,Brown,37.69,Flowering,Clustered,15,1,1
Cotton,Mites,1.69,Yellow,24.01,Seedling,Fast-moving,29,1,1
Maize,Thrips,2.39,White,82.76,Seedling,Scattered,23,1,1
Rice,Mites,1.87,Green,72.78,Seedling,Clustered,11,1,1
Tomato,None,3.39,Yellow,42.83,Seedling,Clustered,4,0,0
Tomato,Aphids,2.32,Brown,57.43,Flowering,Fast-moving,19,0,1
Wheat,Aphids,1.29,Yellow,84.66,Maturity,Slow-moving,15,1,1
Cotton,Mites,3.18,Yellow,88.12,Vegetative,Scattered,12,1,1
Rice,Leafhoppers,3.34,Brown,82.76,Maturity,Slow-moving,1,0,1
Rice,Aphids,2.02,Yellow,76.29,Seedling,Slow-moving,18,0,1
Cotton,Aphids,2.09,Green,63.66,Seedling,Slow-moving,2,1,1
Chili,Aphids,2.68,Green,42.28,Seedling,Scattered,19,0,1
Tomato,None,0.67,Green,70.22,Flowering,Clustered,17,0,0
Potato,Whiteflies,2.33,Brown,60.96,Maturity,Slow-moving,5,1,1
Potato,Mites,3.27,Yellow,80.97,Maturity,Clustered,21,1,1
Chili,Thrips,1.81,Green,36.58,Maturity,Scattered,16,0,1
Rice,Caterpillars,2.52,Black,76.04,Seedling,Scattered,28,1,1
Potato,None,2.05,Black,2.99,Seedling,Scattered,1,0,0
Wheat,None,4.85,Black,48.88,Vegetative,Clustered,20,0,0
Maize,Whiteflies,1.19,Yellow,18.05,Vegetative,Slow-moving,28,0,1
Rice,Mites,2.43,White,57.76,Vegetative,Scattered,22,0,1
Potato,Mites,1.01,Black,42.49,Flowering,Slow-moving,15,0,1
Cotton,Mites,1.58,Black,11.84,Vegetative,Scattered,26,0,1
Rice,Caterpillars,2.29,Black,55.81,Seedling,Fast-moving,16,0,1
Cotton,Mites,2.1,Black,64.61,Seedling,Slow-moving,26,0,1
Maize,Aphids,1.25,White,42.64,Seedling,Fast-moving,13,1,1
Maize,Leafhoppers,2.92,Green,9.83,Maturity,Clustered,16,1,1
