ProductID,ProductName,Category,Description,Keywords,Price,UnitsSoldLast30Days
10001,smartphone,Electronics,This smartphone from our Electronics collection is best in quality and value.,"smartphone, Electronics, buy smartphone online",4591.59,19
10002,lamp,Home & Kitchen,This lamp from our Home & Kitchen collection is best in quality and value.,"lamp, Home & Kitchen, buy lamp online",1642.89,19
10003,moisturizer,Beauty,This moisturizer from our Beauty collection is best in quality and value.,"moisturizer, Beauty, buy moisturizer online",714.78,13
10004,lipstick,Beauty,This lipstick from our Beauty collection is best in quality and value.,"lipstick, Beauty, buy lipstick online",2191.12,28
10005,smartphone,Electronics,This smartphone from our Electronics collection is best in quality and value.,"smartphone, Electronics, buy smartphone online",1578.17,16
10006,moisturizer,Beauty,This moisturizer from our Beauty collection is best in quality and value.,"moisturizer, Beauty, buy moisturizer online",675.07,20
10007,laptop,Electronics,This laptop from our Electronics collection is best in quality and value.,"laptop, Electronics, buy laptop online",1763.65,19
10008,textbook,Books,This textbook from our Books collection is best in quality and value.,"textbook, Books, buy textbook online",164.63,23
10009,lamp,Home & Kitchen,This lamp from our Home & Kitchen collection is best in quality and value.,"lamp, Home & Kitchen, buy lamp online",3610.56,13
10010,jacket,Fashion,This jacket from our Fashion collection is best in quality and value.,"jacket, Fashion, buy jacket online",158.7,19
10011,laptop,Electronics,This laptop from our Electronics collection is best in quality and value.,"laptop, Electronics, buy laptop online",4086.19,11
10012,jeans,Fashion,This jeans from our Fashion collection is best in quality and value.,"jeans, Fashion, buy jeans online",1369.63,24
10013,battery,Electronics,This battery from our Electronics collection is best in quality and value.,"battery, Electronics, buy battery online",4403.67,15
10014,knife,Home & Kitchen,This knife from our Home & Kitchen collection is best in quality and value.,"knife, Home & Kitchen, buy knife online",2305.03,18
10015,textbook,Books,This textbook from our Books collection is best in quality and value.,"textbook, Books, buy textbook online",1482.67,15
10016,moisturizer,Beauty,This moisturizer from our Beauty collection is best in quality and value.,"moisturizer, Beauty, buy moisturizer online",1924.99,21
10017,lamp,Home & Kitchen,This lamp from our Home & Kitchen collection is best in quality and value.,"lamp, Home & Kitchen, buy lamp online",1236.42,18
10018,lipstick,Beauty,This lipstick from our Beauty collection is best in quality and value.,"lipstick, Beauty, buy lipstick online",3089.37,24
10019,curtain,Home & Kitchen,This curtain from our Home & Kitchen collection is best in quality and value.,"curtain, Home & Kitchen, buy curtain online",2543.82,24
10020,biography,Books,This biography from our Books collection is best in quality and value.,"biography, Books, buy biography online",2053.03,16
10021,lamp,Home & Kitchen,This lamp from our Home & Kitchen collection is best in quality and value.,"lamp, Home & Kitchen, buy lamp online",602.5,22
10022,guide,Books,This guide from our Books collection is best in quality and value.,"guide, Books, buy guide online",2236.33,17
10023,conditioner,Beauty,This conditioner from our Beauty collection is best in quality and value.,"conditioner, Beauty, buy conditioner online",2289.55,19
10024,knife,Home & Kitchen,This knife from our Home & Kitchen collection is best in quality and value.,"knife, Home & Kitchen, buy knife online",1692.81,19
10025,smartphone,Electronics,This smartphone from our Electronics collection is best in quality and value.,"smartphone, Electronics, buy smartphone online",4418.49,16
10026,jacket,Fashion,This jacket from our Fashion collection is best in quality and value.,"jacket, Fashion, buy jacket online",4445.75,20
10027,jacket,Fashion,This jacket from our Fashion collection is best in quality and value.,"jacket, Fashion, buy jacket online",2123.99,21
10028,jacket,Fashion,This jacket from our Fashion collection is best in quality and value.,"jacket, Fashion, buy jacket online",2095.43,29
10029,novel,Books,This novel from our Books collection is best in quality and value.,"novel, Books, buy novel online",235.06,20
10030,battery,Electronics,This battery from our Electronics collection is best in quality and value.,"battery, Electronics, buy battery online",1659.53,19
10031,curtain,Home & Kitchen,This curtain from our Home & Kitchen collection is best in quality and value.,"curtain, Home & Kitchen, buy curtain online",4705.75,10
10032,jacket,Fashion,This jacket from our Fashion collection is best in quality and value.,"jacket, Fashion, buy jacket online",3551.64,13
10033,moisturizer,Beauty,This moisturizer from our Beauty collection is best in quality and value.,"moisturizer, Beauty, buy moisturizer online",365.89,20
10034,sneakers,Fashion,This sneakers from our Fashion collection is best in quality and value.,"sneakers, Fashion, buy sneakers online",2365.04,23
10035,charger,Electronics,This charger from our Electronics collection is best in quality and value.,"charger, Electronics, buy charger online",476.33,21
10036,jacket,Fashion,This jacket from our Fashion collection is best in quality and value.,"jacket, Fashion, buy jacket online",4972.69,22
10037,novel,Books,This novel from our Books collection is best in quality and value.,"novel, Books, buy novel online",3060.04,13
