Property Size (sq ft),Number of Rooms,Location Rating,Year Built,Zoning Code,Market Value (INR),Proximity to City (km),Floor Count,Property Type
8030,2,9.1,2000,R1,30816530.01,8.5,36,Residential
3176,1,6.9,1990,R1,15108627.96,5.8,1,Residential
6843,3,5.9,1969,R1,17475509.83,0.7,36,Residential
3956,9,5.5,1967,I1,11794778.01,11.6,9,Industrial
4776,1,7.2,1981,C2,13105703.87,0.4,46,Commercial
4890,2,4.0,1970,I2,11970814.33,0.2,19,Industrial
5316,8,3.3,1953,R2,9777834.92,10.5,12,Residential
6231,4,8.4,2006,C2,19452472.37,0.2,35,Commercial
6502,6,1.8,1976,I2,21469672.0,2.1,3,Industrial
5061,1,4.3,1965,C2,8892804.08,1.1,4,Commercial
6659,8,6.7,1956,R2,23978761.55,1.2,11,Residential
3285,9,3.4,2022,C1,5281763.64,6.0,11,Commercial
6294,4,8.4,1993,R1,25218305.45,6.2,12,Residential
1489,7,4.3,1956,I1,4433505.88,2.3,2,Industrial
9827,2,8.1,1985,I1,43188291.5,7.7,33,Industrial
8563,8,3.6,1963,R2,27041197.46,1.4,10,Residential
6914,5,7.5,1991,R2,22419377.41,0.2,44,Residential
8750,7,8.9,2018,I1,16142560.51,2.8,31,Industrial
8168,8,3.8,1956,I1,12711686.55,3.5,43,Industrial
8679,2,4.6,1988,C1,24150314.79,12.6,30,Commercial
4944,6,8.2,1973,C2,18957192.22,2.6,20,Commercial
8878,7,8.3,2009,I2,36068202.27,6.4,10,Industrial
2035,2,5.4,1961,C2,7805259.44,8.9,47,Commercial
6244,3,5.5,2016,I1,18812955.82,1.6,31,Industrial
5845,2,4.2,1979,C1,10768097.84,3.2,13,Commercial
3010,4,2.5,1989,R2,10413718.12,2.4,30,Residential
8189,8,1.9,2006,C2,18657790.94,0.5,18,Commercial
9343,5,3.2,1995,R1,43837433.54,6.8,26,Residential
8102,9,4.3,2006,R1,16700259.5,0.7,23,Residential
3413,8,5.5,2012,R1,12482572.44,4.5,42,Residential
1530,3,3.8,1988,I1,7588857.66,3.6,21,Industrial
9866,9,7.7,1959,R2,18223706.5,0.2,28,Residential
9128,4,8.0,2011,I1,20984911.58,10.3,10,Industrial
6972,8,3.4,1973,I1,22624036.61,21.2,42,Industrial
8229,6,3.4,2012,I2,11049109.66,16.5,40,Industrial
2932,9,2.7,1956,C1,13335605.41,2.3,13,Commercial
7037,1,5.2,1961,I2,12165521.63,2.5,18,Industrial
7255,1,5.8,1967,R2,19835174.07,3.8,5,Residential
4471,5,7.1,1999,C1,21568779.84,4.7,43,Commercial
9730,5,6.9,1993,C1,40600087.33,6.3,40,Commercial
7604,2,1.8,1988,I2,37957499.99,2.3,45,Industrial
6077,3,7.1,2006,R2,25971712.64,5.7,19,Residential
1779,8,7.0,1995,C1,5857636.42,1.5,41,Commercial
5007,2,1.3,1959,I2,20974456.53,5.6,3,Industrial
7762,7,3.4,1955,R2,29495484.54,0.9,1,Residential
8148,4,3.2,2003,I1,9504992.79,5.5,19,Industrial
2060,4,1.7,2007,C2,3092882.22,5.0,1,Commercial
8992,4,7.5,1987,R2,14362963.35,10.1,42,Residential
1000,5,5.6,2011,R2,4463958.1,1.0,22,Residential
6875,6,9.1,1958,R2,22566604.19,5.6,20,Residential
8921,1,7.6,1982,C1,11181449.9,0.2,10,Commercial
1068,9,3.4,2002,I2,3437926.0,17.2,40,Industrial
9319,2,4.7,1984,R2,42658318.97,13.2,32,Residential
4106,8,6.6,1981,R2,9039708.2,3.0,41,Residential
8432,6,9.3,1998,C1,21031669.02,7.5,15,Commercial
5159,9,6.8,1987,R1,17738534.37,3.7,26,Residential
8880,6,2.7,2002,R1,25540820.39,9.4,19,Residential
1705,3,2.7,1994,R1,4862234.81,2.5,41,Residential
4771,5,7.1,1981,I2,7739447.9,3.2,18,Industrial
5950,6,2.3,2007,C2,15904075.18,10.4,27,Commercial
8610,9,6.5,1988,C1,31949130.62,0.9,30,Commercial
7473,9,2.9,1951,R2,14351494.89,11.6,11,Residential
8375,4,9.0,1959,R1,12100593.96,9.3,46,Residential
6168,3,6.1,2004,C2,15293561.11,0.7,11,Commercial
680,5,2.3,1971,R2,860331.65,0.9,45,Residential
6447,5,6.6,1991,I2,18159659.21,1.2,5,Industrial
8868,8,2.9,2007,C1,16823454.38,11.5,36,Commercial
7854,2,6.7,1981,I2,21974629.12,0.7,31,Industrial
3697,4,3.2,1977,R1,6078109.07,0.7,36,Residential
9408,6,3.8,2020,R2,33849787.86,4.8,22,Residential
1661,3,7.5,1957,I2,5940664.88,0.4,46,Industrial
5407,6,7.7,2013,I1,23587939.51,2.2,11,Industrial
8774,3,5.7,1996,R2,16587415.3,15.5,37,Residential
2722,6,1.6,2012,R2,12664041.05,2.9,38,Residential
8397,7,8.6,2022,I1,25261450.59,1.5,44,Industrial
7036,4,5.8,2014,C1,28115880.59,2.8,32,Commercial
5191,3,5.0,2009,C2,23774176.38,18.0,14,Commercial
8619,6,2.0,1952,C2,24397927.75,6.1,49,Commercial
2372,5,2.4,1961,C2,6891390.84,1.7,16,Commercial
623,5,9.4,2006,R2,717211.07,4.3,28,Residential
1624,6,8.7,1975,C1,5847746.95,1.5,40,Commercial
4236,8,8.9,1950,C1,4553915.22,0.4,5,Commercial
5510,3,3.6,1953,C2,7508855.81,10.0,6,Commercial
2128,6,7.3,1968,I1,2751925.34,10.9,4,Industrial
7629,4,4.3,2005,R1,13104839.28,0.7,49,Residential
5935,3,9.1,1967,C1,21035445.3,4.7,32,Commercial
7471,8,6.9,1970,R1,30642516.22,0.6,37,Residential
5213,9,9.7,1962,R1,7596804.03,1.4,38,Residential
4279,5,5.5,1983,C2,5916276.75,10.1,36,Commercial
512,9,1.5,1976,I1,878923.06,7.0,15,Industrial
769,5,9.9,1970,R1,1040393.03,0.6,36,Residential
853,1,4.2,1992,C2,2425128.22,6.4,19,Commercial
5866,9,3.4,1990,C1,6244881.21,6.0,43,Commercial
9485,4,2.7,1965,C2,40906132.09,6.4,42,Commercial
4246,6,9.8,1965,R1,6080038.68,2.0,41,Residential
9515,1,8.9,1997,R1,12335577.79,14.1,6,Residential
4643,9,8.0,2015,I1,6823924.96,8.6,21,Industrial
3788,4,4.2,1973,I1,6079071.04,2.4,42,Industrial
8497,9,3.7,1991,I2,10232148.22,7.4,14,Industrial
8003,1,6.7,1990,C1,9292249.76,2.7,36,Commercial
3008,6,3.0,1999,R1,7273881.01,2.2,21,Residential
3477,4,7.2,1981,C2,8309465.06,7.4,42,Commercial
1625,7,1.8,2003,I1,2020572.7,6.2,19,Industrial
3149,6,7.9,2018,I1,11193711.17,1.5,29,Industrial
3181,7,4.8,1998,I2,7358983.83,9.3,43,Industrial
7232,8,6.4,2001,I2,25732390.75,1.6,41,Industrial
8075,9,8.7,2012,C1,15252209.56,4.4,30,Commercial
6679,4,8.0,2012,C2,28112160.09,0.5,5,Commercial
2744,1,4.5,1957,I2,4529656.32,1.3,30,Industrial
805,7,4.7,2012,I1,909907.68,1.0,8,Industrial
8659,9,5.6,1967,I1,42064226.51,0.2,48,Industrial
9198,8,1.7,2010,R2,15517262.53,2.5,21,Residential
4593,3,1.0,1989,R1,16958630.12,0.5,16,Residential
6283,3,3.6,1971,C2,17490795.09,0.4,10,Commercial
7238,7,1.5,1987,R1,33287315.39,1.3,22,Residential
4437,9,8.2,2005,I1,10676929.75,0.5,20,Industrial
9142,8,9.3,2001,C1,27725137.71,3.6,10,Commercial
7721,2,9.1,1989,R2,33198154.89,7.7,14,Residential
6397,3,2.1,1992,I1,19771390.73,5.3,47,Industrial
4684,1,6.3,1989,I1,7513838.16,14.5,18,Industrial
708,7,8.7,2023,I1,1796976.29,0.9,30,Industrial
5099,4,7.8,2011,C2,18543456.71,1.7,35,Commercial
8711,2,9.1,1977,R2,14834162.69,0.6,23,Residential
7560,1,5.7,1967,R1,34022182.77,0.2,6,Residential
