product_category,store_location,historical_avg_monthly_sales,promo_active,season,economic_index,competitor_activity_index,local_event_impact,predicted_next_month_sales
Grocery,Tier 1 City,49173.84,No,Winter,0.84,0.98,0,46472.14
Apparel,Tier 2 City,106891.01,No,Summer,1.0,1.38,0,81305.19
Pharmacy,Metro,59544.75,No,Summer,0.92,0.87,0,64098.48
Pharmacy,Tier 2 City,70228.41,No,Back to School,0.97,1.38,0,47324.19
Grocery,Metro,78686.68,No,Winter,0.96,1.14,1,85596.37
Pharmacy,Tier 1 City,71559.17,No,Regular,1.02,1.07,0,63750.6
Grocery,Metro,39406.36,No,Festive,0.87,0.66,0,52592.89
Home Decor,Tier 2 City,60877.89,No,Summer,0.84,0.84,1,80632.54
Apparel,Metro,35808.62,No,Regular,0.84,1.14,0,31251.28
Electronics,Tier 1 City,44402.82,Yes,Winter,0.97,1.18,0,45358.99
Grocery,Tier 2 City,67237.49,No,Summer,1.09,0.55,0,135952.09
Electronics,Tier 1 City,59906.48,Yes,Winter,1.2,1.49,0,62215.5
Grocery,Metro,83341.24,No,Back to School,1.1,1.09,0,88217.51
Apparel,Tier 2 City,69697.85,No,Back to School,1.15,1.34,1,64784.32
Home Decor,Tier 1 City,44053.08,Yes,Regular,0.98,1.36,0,32421.87
Pharmacy,Tier 1 City,58177.17,Yes,Winter,0.87,0.98,0,57674.73
Apparel,Tier 1 City,55559.65,No,Back to School,0.91,0.88,0,61532.64
Pharmacy,Metro,45197.21,No,Festive,0.87,0.76,0,50784.32
Apparel,Metro,70190.06,Yes,Regular,1.09,1.46,1,63634.64
Home Decor,Tier 1 City,65450.66,Yes,Back to School,1.13,1.18,0,75643.57
Apparel,Tier 1 City,34350.63,No,Summer,0.92,0.56,1,62823.02
Home Decor,Metro,87204.42,Yes,Summer,1.02,1.02,0,95227.66
Pharmacy,Metro,48387.78,No,Festive,1.04,0.51,1,110240.95
Apparel,Tier 2 City,59992.08,Yes,Festive,1.08,1.03,0,70247.61
Grocery,Tier 2 City,45633.8,Yes,Winter,1.01,0.95,0,53141.38
Electronics,Metro,67060.9,Yes,Regular,1.07,0.8,0,102785.18
Electronics,Metro,64101.7,No,Regular,1.12,0.98,0,74672.82
Electronics,Metro,81941.21,No,Winter,0.98,1.36,1,62758.41
Home Decor,Tier 1 City,29739.98,Yes,Festive,0.82,0.79,0,41654.77
Grocery,Metro,11413.8,Yes,Winter,0.91,1.49,0,5000.0
Apparel,Metro,43956.67,Yes,Winter,0.91,0.76,0,57037.05
Electronics,Tier 2 City,24428.44,No,Back to School,0.96,0.56,1,53148.92
Pharmacy,Tier 1 City,29019.57,No,Winter,1.16,1.46,1,13213.36
Electronics,Tier 1 City,54879.8,Yes,Winter,0.88,0.69,0,85194.57
Grocery,Metro,29840.97,Yes,Back to School,1.19,1.14,0,36540.82
Electronics,Metro,43849.37,No,Summer,1.09,0.99,0,47075.89
Home Decor,Tier 2 City,94003.54,Yes,Regular,0.83,1.19,0,83618.85
Grocery,Tier 1 City,57152.45,No,Festive,0.83,1.08,0,50991.84
Electronics,Tier 2 City,43972.36,No,Regular,1.14,0.8,0,60269.41
Home Decor,Tier 1 City,64099.32,No,Regular,0.82,1.31,0,39935.39
Home Decor,Metro,33238.08,Yes,Summer,1.1,1.31,1,19766.41
Apparel,Tier 1 City,54302.68,No,Back to School,1.16,0.59,0,109854.61
Home Decor,Tier 1 City,15863.94,No,Summer,0.97,0.58,0,31509.77
Electronics,Tier 1 City,76407.51,No,Back to School,0.97,1.4,0,47693.74
Grocery,Tier 1 City,90129.35,Yes,Regular,1.19,1.35,0,97431.56
Grocery,Metro,66995.12,No,Festive,0.97,0.8,0,76347.78
Electronics,Metro,70868.26,Yes,Regular,1.03,1.03,0,84701.0
Electronics,Tier 2 City,47331.97,No,Festive,1.06,0.74,0,69417.31
Electronics,Tier 2 City,24976.96,Yes,Summer,1.14,0.77,0,41303.64
Home Decor,Tier 1 City,58758.97,Yes,Winter,0.83,1.37,1,39966.75
Grocery,Tier 2 City,69828.8,Yes,Festive,1.05,0.66,0,135835.19
Grocery,Metro,68386.75,Yes,Festive,0.92,1.13,0,70583.14
