ShipmentID,OriginCity,DestinationCity,DistanceKM,PackageWeightKG,PackageSize,TransportMode,DispatchTime,ScheduledDeliveryDays,TrafficCondition,WeatherCondition,OperationalDisruption,NumStops,DeliveryPartner,CustomerPriority,ActualDeliveryDays,DelayCategory
10001,Delhi,Hyderabad,860.2,9.49,Oversize,Air,2024-07-13 02:00:00,9,Moderate,Clear,None,3,3PL-A,Low,<function <lambda> at 0x7cd864291300>,On-Time
10002,Bangalore,Mumbai,849.7,13.0,Large,Road,2024-08-18 04:00:00,5,Heavy,Clear,None,4,3PL-B,High,<function <lambda> at 0x7cd864291300>,Cancelled
10003,Hyderabad,Hyderabad,385.3,0.5,Large,Sea,2024-04-05 19:00:00,6,Moderate,Clear,None,0,3PL-C,Low,<function <lambda> at 0x7cd864291300>,On-Time
10004,Hyderabad,Chennai,731.5,1.17,Oversize,Sea,2024-03-12 02:00:00,1,Clear,Rainy,Vehicle Breakdown,0,3PL-A,Low,<function <lambda> at 0x7cd864291300>,On-Time
10005,Delhi,Delhi,1065.9,3.07,Large,Road,2024-01-29 04:00:00,8,Jam,Clear,None,3,3PL-B,Medium,<function <lambda> at 0x7cd864291300>,On-Time
10006,Hyderabad,Chennai,1047.0,0.5,Oversize,Rail,2024-07-29 17:00:00,5,Moderate,Clear,None,4,Internal,High,<function <lambda> at 0x7cd864291300>,On-Time
10007,Delhi,Mumbai,807.4,7.36,Small,Rail,2024-12-13 02:00:00,6,Clear,Clear,None,2,Internal,High,<function <lambda> at 0x7cd864291300>,On-Time
10008,Kolkata,Mumbai,856.5,2.36,Medium,Air,2024-10-14 15:00:00,4,Heavy,Clear,None,4,Internal,Low,<function <lambda> at 0x7cd864291300>,On-Time
10009,Chennai,Delhi,1076.9,2.4,Small,Sea,2024-08-06 15:00:00,1,Moderate,Stormy,None,3,3PL-A,Low,<function <lambda> at 0x7cd864291300>,Minor Delay
10010,Bangalore,Chennai,895.9,0.5,Medium,Rail,2024-09-28 03:00:00,5,Clear,Clear,None,4,3PL-B,High,<function <lambda> at 0x7cd864291300>,On-Time
10011,Mumbai,Delhi,518.6,5.94,Oversize,Road,2024-05-18 08:00:00,6,Heavy,Clear,System Outage,0,3PL-C,Medium,<function <lambda> at 0x7cd864291300>,On-Time
10012,Delhi,Delhi,719.5,1.28,Oversize,Air,2024-01-11 18:00:00,4,Heavy,Rainy,None,1,Internal,Medium,<function <lambda> at 0x7cd864291300>,Minor Delay
10013,Kolkata,Mumbai,809.2,6.67,Small,Road,2024-03-17 11:00:00,4,Clear,Clear,None,2,Internal,Low,<function <lambda> at 0x7cd864291300>,On-Time
10014,Kolkata,Delhi,912.0,9.56,Oversize,Rail,2024-05-24 19:00:00,3,Clear,Clear,None,3,Internal,High,<function <lambda> at 0x7cd864291300>,Minor Delay
10015,Mumbai,Chennai,891.3,7.01,Medium,Road,2024-09-13 08:00:00,2,Moderate,Clear,None,2,3PL-A,Low,<function <lambda> at 0x7cd864291300>,Minor Delay
10016,Delhi,Kolkata,548.4,4.8,Large,Air,2024-11-14 19:00:00,9,Clear,Clear,None,3,Internal,High,<function <lambda> at 0x7cd864291300>,On-Time
10017,Bangalore,Delhi,904.3,10.5,Small,Air,2024-03-30 22:00:00,6,Clear,Clear,None,3,3PL-B,High,<function <lambda> at 0x7cd864291300>,On-Time
10018,Kolkata,Hyderabad,934.9,0.87,Medium,Road,2024-10-11 12:00:00,5,Clear,Clear,Strike,2,Internal,Low,<function <lambda> at 0x7cd864291300>,On-Time
10019,Chennai,Chennai,723.8,6.39,Large,Rail,2024-12-25 06:00:00,4,Clear,Clear,System Outage,2,3PL-A,High,<function <lambda> at 0x7cd864291300>,On-Time
10020,Hyderabad,Chennai,1472.1,3.87,Medium,Road,2024-06-04 10:00:00,5,Heavy,Foggy,None,4,Internal,Low,<function <lambda> at 0x7cd864291300>,On-Time
10021,Bangalore,Hyderabad,1134.4,6.93,Large,Rail,2024-04-04 03:00:00,3,Clear,Clear,None,0,3PL-C,High,<function <lambda> at 0x7cd864291300>,Minor Delay
10022,Hyderabad,Chennai,954.6,5.75,Medium,Rail,2024-09-08 14:00:00,4,Clear,Clear,None,0,Internal,Medium,<function <lambda> at 0x7cd864291300>,On-Time
10023,Bangalore,Chennai,744.6,6.25,Large,Road,2024-09-20 20:00:00,9,Moderate,Clear,None,4,3PL-A,Low,<function <lambda> at 0x7cd864291300>,On-Time
10024,Chennai,Chennai,814.2,3.86,Medium,Sea,2024-07-20 20:00:00,5,Clear,Foggy,None,1,3PL-A,Medium,<function <lambda> at 0x7cd864291300>,Minor Delay
10025,Bangalore,Chennai,619.8,0.5,Large,Rail,2024-09-19 19:00:00,8,Clear,Clear,None,4,Internal,High,<function <lambda> at 0x7cd864291300>,On-Time
10026,Chennai,Kolkata,67.7,5.28,Large,Road,2024-08-09 17:00:00,5,Heavy,Clear,None,4,Internal,High,<function <lambda> at 0x7cd864291300>,On-Time
10027,Hyderabad,Delhi,1064.8,0.5,Medium,Road,2024-08-21 19:00:00,6,Moderate,Clear,None,0,Internal,High,<function <lambda> at 0x7cd864291300>,On-Time
10028,Bangalore,Hyderabad,1198.9,3.97,Large,Rail,2024-02-29 03:00:00,7,Clear,Stormy,None,1,3PL-C,Low,<function <lambda> at 0x7cd864291300>,On-Time
10029,Delhi,Bangalore,1085.3,3.09,Oversize,Road,2024-06-05 05:00:00,8,Clear,Clear,None,2,3PL-A,Medium,<function <lambda> at 0x7cd864291300>,On-Time
10030,Mumbai,Delhi,714.9,10.09,Small,Road,2024-06-10 22:00:00,6,Moderate,Clear,System Outage,0,Internal,Low,<function <lambda> at 0x7cd864291300>,On-Time
10031,Mumbai,Mumbai,1070.2,5.55,Medium,Air,2024-02-03 02:00:00,4,Heavy,Clear,Vehicle Breakdown,1,3PL-B,Medium,<function <lambda> at 0x7cd864291300>,On-Time
10032,Mumbai,Hyderabad,612.8,2.47,Medium,Air,2024-12-05 01:00:00,2,Heavy,Rainy,None,2,Internal,High,<function <lambda> at 0x7cd864291300>,On-Time
10033,Chennai,Hyderabad,812.1,5.62,Medium,Road,2024-08-16 12:00:00,2,Clear,Foggy,None,4,3PL-B,High,<function <lambda> at 0x7cd864291300>,Minor Delay
10034,Delhi,Chennai,634.9,0.5,Oversize,Road,2024-10-08 14:00:00,6,Moderate,Clear,None,4,Internal,High,<function <lambda> at 0x7cd864291300>,On-Time
10035,Bangalore,Kolkata,899.4,5.49,Small,Road,2024-05-02 13:00:00,3,Moderate,Foggy,None,0,Internal,Low,<function <lambda> at 0x7cd864291300>,On-Time
10036,Mumbai,Kolkata,342.6,3.58,Medium,Air,2024-12-25 21:00:00,7,Heavy,Clear,None,0,3PL-B,Low,<function <lambda> at 0x7cd864291300>,Minor Delay
10037,Kolkata,Bangalore,1126.2,6.87,Oversize,Road,2024-03-05 17:00:00,6,Moderate,Clear,None,1,3PL-B,Medium,<function <lambda> at 0x7cd864291300>,On-Time
10038,Hyderabad,Hyderabad,944.9,6.92,Large,Road,2024-04-17 12:00:00,3,Clear,Clear,None,2,3PL-B,Medium,<function <lambda> at 0x7cd864291300>,Minor Delay
10039,Mumbai,Delhi,1129.9,6.59,Large,Sea,2024-02-20 09:00:00,5,Clear,Foggy,None,2,3PL-B,High,<function <lambda> at 0x7cd864291300>,Minor Delay
10040,Delhi,Kolkata,952.4,2.71,Medium,Road,2024-03-03 02:00:00,5,Clear,Clear,None,0,Internal,Medium,<function <lambda> at 0x7cd864291300>,Major Delay
10041,Kolkata,Chennai,1014.2,7.57,Oversize,Air,2024-04-20 06:00:00,2,Moderate,Clear,None,4,3PL-B,Medium,<function <lambda> at 0x7cd864291300>,On-Time
10042,Mumbai,Hyderabad,1033.3,6.0,Small,Road,2024-03-07 14:00:00,8,Heavy,Clear,None,1,3PL-B,Low,<function <lambda> at 0x7cd864291300>,On-Time
10043,Chennai,Chennai,1033.4,7.07,Oversize,Road,2024-06-02 07:00:00,7,Moderate,Clear,None,0,Internal,Low,<function <lambda> at 0x7cd864291300>,Minor Delay
10044,Delhi,Delhi,447.8,4.31,Small,Rail,2024-08-25 10:00:00,9,Clear,Clear,None,3,3PL-C,Medium,<function <lambda> at 0x7cd864291300>,Major Delay
10045,Mumbai,Delhi,367.8,6.64,Small,Air,2024-07-21 17:00:00,8,Moderate,Clear,None,3,3PL-A,Low,<function <lambda> at 0x7cd864291300>,Minor Delay
10046,Chennai,Chennai,435.4,1.82,Small,Road,2024-07-24 12:00:00,6,Clear,Clear,None,0,3PL-A,Medium,<function <lambda> at 0x7cd864291300>,Minor Delay
