Date,Channel,Region,Ad_Spend,Impressions,Clicks,Conversions,Revenue,CTR,Conversion_Rate
2025-01-01,Facebook,East,35072,324422,12194,1177,487278,3.758684676131705,9.652288010496965
2025-01-01,YouTube,North,15612,434523,5654,2927,2517220,1.3011969446956777,51.76865935620799
2025-01-01,Instagram,East,5582,65898,9991,761,318859,15.161309903183708,7.616855169652688
2025-01-02,YouTube,East,21320,105984,7077,2505,2367225,6.677423007246378,35.39635438745231
2025-01-04,YouTube,South,10838,298801,16150,2179,1717052,5.404935057111589,13.492260061919506
2025-01-04,YouTube,East,43291,398412,7058,296,248936,1.7715329859542384,4.193822612638141
2025-01-04,Google Ads,East,35386,181735,3456,1384,358456,1.9016700140314196,40.0462962962963
2025-01-04,Facebook,North,8894,460986,3146,614,264020,0.6824502262541596,19.516846789574064
2025-01-04,Facebook,West,9235,187005,4593,362,342814,2.456084061923478,7.881558893969083
2025-01-04,Instagram,North,43856,168398,3376,1250,1118750,2.0047744034964787,37.0260663507109
2025-01-05,Email,North,20905,140356,13457,2394,1036602,9.587762546667046,17.789997770676973
2025-01-05,YouTube,East,37425,440900,8142,760,247760,1.846677251077342,9.334315892901007
2025-01-06,YouTube,North,31158,165902,12371,2759,2618291,7.4568118527805565,22.302158273381295
2025-01-06,Instagram,North,39584,290800,19220,1139,831470,6.609353507565337,5.926118626430801
2025-01-06,Instagram,North,27906,240755,17996,841,716532,7.474818799194202,4.673260724605468
2025-01-07,YouTube,North,38206,166092,12078,1134,893592,7.2718734195506105,9.38897168405365
2025-01-08,Email,East,19059,230427,8398,1431,1385208,3.644538183459404,17.0397713741367
2025-01-08,Instagram,West,35292,333196,11675,192,165696,3.503943624773407,1.6445396145610278
2025-01-08,Google Ads,East,35324,41554,15033,485,332710,36.177022669297784,3.2262356149803764
2025-01-09,Facebook,South,31116,218089,11517,2756,1124448,5.280871570780736,23.929842841017628
2025-01-10,Google Ads,East,14330,353431,5931,2024,1414776,1.6781210476726716,34.125779801045354
2025-01-10,Instagram,North,25345,28325,16648,2684,832040,58.77493380406001,16.12205670350793
2025-01-11,Facebook,South,44416,344605,2627,2154,775440,0.7623220789019312,81.99467072706508
2025-01-11,YouTube,North,25340,298987,12297,271,262599,4.112887851311261,2.2037895421647558
2025-01-12,Google Ads,East,45842,409365,10945,1629,1128897,2.6736530968695416,14.883508451347646
2025-01-12,Google Ads,South,45964,24851,9527,1537,630170,38.33648545330168,16.13309541303663
2025-01-12,YouTube,East,41327,352741,16266,2902,1865986,4.611315384375505,17.8408951186524
2025-01-13,YouTube,South,8392,169471,4961,1363,815074,2.927344501419122,27.474299536383796
2025-01-14,Instagram,East,42390,431712,10594,513,365256,2.4539507820028166,4.84236360203889
2025-01-14,Facebook,East,39611,463218,10937,2674,1074948,2.3610913220125296,24.44911767395081
2025-01-15,YouTube,North,37271,363374,9298,1450,988900,2.558796171437692,15.594751559475156
2025-01-15,Facebook,North,20199,162462,17658,2885,2218565,10.869003213059054,16.33820364707215
2025-01-15,YouTube,North,32012,270623,15903,1867,539563,5.8764406572981605,11.739923284914797
2025-01-16,Instagram,North,36214,485706,15549,2019,1088241,3.201319316623637,12.984757862241944
2025-01-17,Instagram,North,44450,456729,12920,1289,444705,2.8288109579203424,9.976780185758514
2025-01-17,Email,North,13260,355026,5862,1656,569664,1.6511466765814335,28.249744114636645
2025-01-17,Facebook,East,43452,213976,1612,1205,986895,0.7533555165065241,74.75186104218362
2025-01-17,Email,West,21097,20625,2411,494,345306,11.68969696969697,20.48942347573621
2025-01-18,Email,West,40332,272227,18876,2096,498848,6.9339191189705645,11.10404746768383
2025-01-19,Google Ads,West,7350,41771,8864,2524,2019200,21.220463958248544,28.474729241877256
2025-01-19,Google Ads,East,22505,454470,19639,2809,2047761,4.321297335357669,14.303172259280004
2025-01-19,YouTube,North,40623,179929,13012,847,315931,7.231741409111371,6.509375960651706
2025-01-19,Facebook,South,43717,442214,2918,2691,548964,0.6598615150130932,92.22069910897875
2025-01-19,Instagram,East,29144,248870,7640,74,44992,3.069875838791337,0.968586387434555
2025-01-19,Instagram,South,35554,181705,9840,1848,1419264,5.415371068490135,18.78048780487805
2025-01-19,Facebook,West,25048,209281,17289,1735,919550,8.261141718550656,10.03528254959801
2025-01-20,Google Ads,East,47601,400956,18422,2940,1960980,4.5945190993525475,15.9591792422104
2025-01-21,YouTube,East,11333,185515,13337,1937,1667757,7.18917607740614,14.523506035840144
2025-01-21,Facebook,West,30573,444851,5560,2261,1802017,1.249856693589539,40.66546762589928
2025-01-22,Instagram,West,39628,36568,7379,1332,1016316,20.178844891708597,18.051226453448976
2025-01-22,Instagram,North,33508,256288,16622,830,398400,6.485672368585342,4.993382264468776
2025-01-23,YouTube,West,31089,38063,4999,1797,619965,13.133489215248403,35.94718943788758
2025-01-23,YouTube,East,27881,392286,4342,2766,2494932,1.1068455157716564,63.70336250575771
2025-01-24,Instagram,South,25839,25808,8640,815,800330,33.477991320520765,9.43287037037037
2025-01-24,Email,East,24771,77797,5808,2937,2763717,7.465583505790711,50.56818181818182
2025-01-24,Google Ads,West,36822,48364,17617,1044,752724,36.42585394094781,5.926094113640234
2025-01-24,Facebook,East,33265,165049,19972,2614,985478,12.100648898205987,13.088323653114358
2025-01-25,Google Ads,North,24578,277063,15051,1127,696486,5.432338493411246,7.487874559829912
2025-01-25,Instagram,West,19121,106923,11017,1591,418433,10.30367647746509,14.441317963147862
2025-01-25,Google Ads,North,27104,170622,16555,1485,1208790,9.702734700097292,8.970099667774086
2025-01-25,Instagram,South,36193,198308,15634,791,466690,7.883696068741554,5.059485736215939
2025-01-25,Google Ads,West,7472,373872,13919,1634,480396,3.7229319125262124,11.739349091170343
2025-01-26,YouTube,South,32516,378560,7488,2685,1372035,1.9780219780219779,35.857371794871796
2025-01-26,Google Ads,West,28001,99729,2254,923,598104,2.2601249385835613,40.9494232475599
2025-01-26,Email,South,17272,304570,12099,2449,2079201,3.972485799651968,20.241342259690885
2025-01-26,YouTube,North,47735,247435,19552,2519,685168,7.901873219229293,12.88359247135843
2025-01-28,Facebook,East,35136,97857,10055,2229,1725246,10.27519748204012,22.168075584286427
2025-01-29,Google Ads,West,28012,321465,1703,2141,2003976,0.5297621825082046,125.71931884908985
2025-01-30,Facebook,North,9469,375897,5485,1026,602262,1.459176316916602,18.70556061987238
2025-01-30,Email,North,12058,292804,13745,369,187083,4.694266471769511,2.684612586395053
2025-01-30,YouTube,North,29281,470946,6920,856,713904,1.4693829016490214,12.369942196531792
2025-01-31,Google Ads,South,34792,83242,15516,1522,747302,18.63962903342063,9.809229182779067
2025-01-31,Google Ads,South,31824,206306,10525,1582,765688,5.101645129080104,15.030878859857483
2025-01-31,Instagram,South,21697,378358,3971,2721,1055748,1.0495350963901913,68.52178292621505
2025-02-02,YouTube,South,12180,128042,12560,381,361569,9.809281329563737,3.03343949044586
2025-02-02,YouTube,West,11531,70691,18635,2247,748251,26.361205811206517,12.057955460155622
2025-02-02,Facebook,East,47955,174860,11902,1466,321054,6.806588127644973,12.317257603764073
2025-02-02,Instagram,West,42606,493338,2764,2149,954156,0.5602649704664956,77.74963820549927
2025-02-03,Google Ads,South,25370,47640,19688,231,78078,41.32661628883291,1.1733035351483136
2025-02-04,Instagram,North,25114,295273,3989,85,56270,1.3509531856959491,2.1308598646277264
2025-02-04,Facebook,South,46556,39406,15095,2885,1987765,38.306349286910624,19.112288837363366
2025-02-06,Email,East,29037,398600,1267,1243,280918,0.3178625188158555,98.10576164167324
2025-02-06,Facebook,North,10111,137639,18987,2938,984230,13.794782002194145,15.473745194080161
2025-02-06,Email,North,6257,100100,16182,334,130928,16.165834165834166,2.064021752564578
2025-02-07,Instagram,South,46630,270818,3723,1012,1002892,1.374723984373269,27.182379801235562
2025-02-07,Facebook,North,6016,273994,9701,2382,1050462,3.540588480039709,24.554169673229566
2025-02-08,Instagram,West,15602,232528,10737,1101,418380,4.61750842909241,10.25426096675049
2025-02-10,Instagram,East,41463,432789,6390,269,211434,1.4764700581576704,4.209702660406886
2025-02-10,Facebook,North,10310,172185,16953,1010,509040,9.845805383744228,5.957647613991624
2025-02-10,Instagram,West,14227,340888,12150,2465,1035300,3.5642205064419987,20.2880658436214
2025-02-10,Google Ads,East,10259,20571,9348,2676,749280,45.44261338777891,28.626444159178433
2025-02-10,Instagram,North,18728,459723,3680,1394,1090108,0.8004820293959624,37.880434782608695
2025-02-10,Instagram,West,22156,433104,17379,1589,1117067,4.012662085780782,9.143218827320329
2025-02-10,YouTube,West,38059,132042,4074,2426,2375054,3.085381923933294,59.548355424644086
2025-02-11,Facebook,East,33854,260255,12217,588,254604,4.694242185548789,4.81296553982156
2025-02-11,Email,West,27923,391137,4539,1870,488070,1.1604629579917012,41.19850187265918
2025-02-11,Facebook,North,42048,477889,1530,2615,2230595,0.3201580283287542,170.91503267973854
2025-02-11,Email,East,26739,292943,4523,2321,1812701,1.5439863727755911,51.31549856290073
2025-02-12,Google Ads,East,24628,475096,13374,2851,1989998,2.815010019027733,21.31748168087334
2025-02-13,Instagram,West,31667,34148,6230,2163,2147859,18.24411385732693,34.71910112359551
2025-02-13,Email,South,18200,313126,13253,1475,625400,4.232481493073076,11.129555572323248
2025-02-13,YouTube,West,36768,464560,13176,2509,2037308,2.8362321336318237,19.04219793564056
2025-02-13,Facebook,South,41659,25360,8363,1904,1020544,32.97712933753944,22.7669496592132
2025-02-13,Facebook,East,7490,267374,1815,483,459816,0.6788244182306432,26.611570247933887
