Customer_ID,Age,Annual_Income,Spending_Score,Total_Purchases,Avg_Order_Value,Days_Since_Last_Purchase
1001,56,1285317,65,35,3659,186
1002,46,200000,28,13,1494,281
1003,32,410079,34,12,1359,292
1004,60,593717,38,19,3291,254
1005,25,509148,31,12,2813,280
1006,38,324049,11,16,500,304
1007,56,398689,30,12,2276,252
1008,36,345759,27,18,1834,276
1009,40,329495,27,14,500,267
1010,28,676576,27,11,3056,309
1011,28,528875,23,18,1331,320
1012,41,312870,32,19,500,265
1013,53,693703,38,21,1469,274
1014,57,515890,37,13,1584,252
1015,41,664261,37,23,2694,262
1016,20,606108,35,14,654,282
1017,39,292290,30,14,1164,283
1018,19,334338,20,20,1691,275
1019,41,642837,37,19,4004,240
1020,61,600300,31,20,924,282
1021,47,437813,25,12,1109,289
1022,55,469143,27,11,1825,306
1023,19,838049,45,22,3940,212
1024,38,329132,21,13,792,292
1025,50,581606,44,17,3137,221
1026,29,399873,20,12,500,327
1027,39,396788,25,19,500,278
1028,61,766345,37,18,2903,280
1029,42,668444,49,28,817,212
1030,44,664476,39,18,1040,239
1031,59,849785,52,21,2304,209
1032,45,447084,17,15,2261,300
1033,33,622174,38,24,500,275
1034,32,378839,33,12,1433,258
1035,64,520259,32,20,2767,270
1036,61,414541,36,18,1186,236
1037,20,464398,25,10,1179,269
1038,54,595751,46,28,2387,232
1039,24,293869,41,16,787,219
1040,38,1259460,56,32,5588,220
1041,26,267531,18,14,500,332
1042,56,241085,33,21,751,255
1043,35,789421,54,32,2837,204
1044,21,657257,33,25,1812,285
1045,42,604441,31,16,500,255
1046,31,605719,32,13,1858,288
1047,26,439712,18,13,2365,308
1048,43,282482,15,9,1719,335
1049,19,459503,21,21,1886,323
1050,37,315343,18,15,500,333
1051,45,720398,39,18,2796,241
1052,64,411050,29,12,796,262
1053,24,292801,35,13,1329,251
1054,61,376738,18,17,1377,310
1055,25,543870,40,15,836,218
1056,64,333746,23,10,500,278
1057,52,293281,23,9,1332,324
1058,31,499740,36,26,1444,249
1059,34,500059,22,11,826,276
1060,53,343357,28,11,500,268
1061,57,349577,26,18,861,268
1062,21,496840,35,20,3224,284
1063,19,214477,22,9,500,299
1064,23,218877,40,22,715,228
1065,59,308901,18,19,1131,314
1066,21,397629,23,13,500,283
1067,46,516821,26,9,500,312
1068,35,925119,42,18,2057,242
1069,43,679307,32,24,2511,249
1070,61,408411,37,13,1448,264
1071,51,438226,40,27,2163,226
1072,27,267998,17,11,990,332
