Date,DayOfWeek,Month,Day,IsWeekend,Promotion,Price,Linear_Demand,Nonlinear_Demand
2023-01-01,6,1,1,1,0,78,93,357
2023-01-02,0,1,2,0,0,95,62,234
2023-01-03,1,1,3,0,0,96,53,227
2023-01-04,2,1,4,0,0,96,53,228
2023-01-05,3,1,5,0,1,109,53,317
2023-01-06,4,1,6,0,0,97,53,246
2023-01-07,5,1,7,1,0,107,54,282
2023-01-08,6,1,8,1,0,89,77,371
2023-01-09,0,1,9,0,0,108,39,230
2023-01-10,1,1,10,0,0,101,51,228
2023-01-11,2,1,11,0,0,109,25,236
2023-01-12,3,1,12,0,0,95,58,223
2023-01-13,4,1,13,0,0,99,53,243
2023-01-14,5,1,14,1,0,96,77,279
2023-01-15,6,1,15,1,0,101,62,288
2023-01-16,0,1,16,0,0,95,63,227
2023-01-17,1,1,17,0,0,106,47,241
2023-01-18,2,1,18,0,0,87,69,316
2023-01-19,3,1,19,0,0,123,7,246
2023-01-20,4,1,20,0,0,107,38,250
2023-01-21,5,1,21,1,1,126,36,392
2023-01-22,6,1,22,1,0,108,51,292
2023-01-23,0,1,23,0,0,98,49,253
2023-01-24,1,1,24,0,0,108,36,247
2023-01-25,2,1,25,0,0,103,54,255
2023-01-26,3,1,26,0,0,96,52,229
2023-01-27,4,1,27,0,0,105,43,237
2023-01-28,5,1,28,1,1,102,74,368
2023-01-29,6,1,29,1,1,105,71,386
2023-01-30,0,1,30,0,1,87,90,399
2023-01-31,1,1,31,0,1,120,33,343
2023-02-01,2,2,1,0,1,98,78,333
2023-02-02,3,2,2,0,1,95,81,327
2023-02-03,4,2,3,0,0,90,69,342
2023-02-04,5,2,4,1,0,91,71,386
2023-02-05,6,2,5,1,0,99,61,308
2023-02-06,0,2,6,0,0,106,46,252
2023-02-07,1,2,7,0,1,105,62,352
2023-02-08,2,2,8,0,1,109,60,347
2023-02-09,3,2,9,0,1,101,64,351
2023-02-10,4,2,10,0,0,87,68,344
2023-02-11,5,2,11,1,0,107,39,291
2023-02-12,6,2,12,1,0,83,81,387
2023-02-13,0,2,13,0,0,91,69,341
2023-02-14,1,2,14,0,0,111,32,260
2023-02-15,2,2,15,0,0,93,55,342
2023-02-16,3,2,16,0,0,96,64,269
2023-02-17,4,2,17,0,0,93,66,349
2023-02-18,5,2,18,1,0,99,64,304
2023-02-19,6,2,19,1,0,101,70,308
2023-02-20,0,2,20,0,0,97,62,275
2023-02-21,1,2,21,0,0,112,38,270
2023-02-22,2,2,22,0,0,96,58,263
2023-02-23,3,2,23,0,0,100,41,267
2023-02-24,4,2,24,0,0,90,60,327
2023-02-25,5,2,25,1,0,105,57,323
2023-02-26,6,2,26,1,0,84,84,377
2023-02-27,0,2,27,0,0,106,42,270
2023-02-28,1,2,28,0,1,110,59,337
2023-03-01,2,3,1,0,0,93,61,353
2023-03-02,3,3,2,0,0,106,40,262
2023-03-03,4,3,3,0,0,92,65,345
2023-03-04,5,3,4,1,0,94,59,394
2023-03-05,6,3,5,1,0,103,48,311
2023-03-06,0,3,6,0,0,104,43,249
2023-03-07,1,3,7,0,0,93,60,344
2023-03-08,2,3,8,0,1,119,36,339
2023-03-09,3,3,9,0,1,98,79,354
2023-03-10,4,3,10,0,0,91,59,338
2023-03-11,5,3,11,1,0,87,82,400
2023-03-12,6,3,12,1,0,83,86,400
2023-03-13,0,3,13,0,1,99,73,353
2023-03-14,1,3,14,0,0,108,38,269
2023-03-15,2,3,15,0,1,108,56,336
2023-03-16,3,3,16,0,0,109,45,259
2023-03-17,4,3,17,0,0,84,71,348
2023-03-18,5,3,18,1,0,94,78,407
2023-03-19,6,3,19,1,1,106,82,404
2023-03-20,0,3,20,0,0,99,46,258
2023-03-21,1,3,21,0,1,80,105,431
2023-03-22,2,3,22,0,0,100,55,281
2023-03-23,3,3,23,0,0,96,63,272
2023-03-24,4,3,24,0,0,102,44,278
2023-03-25,5,3,25,1,0,103,56,330
2023-03-26,6,3,26,1,0,94,73,401
2023-03-27,0,3,27,0,0,115,28,276
2023-03-28,1,3,28,0,0,102,45,271
2023-03-29,2,3,29,0,0,111,21,257
2023-03-30,3,3,30,0,1,97,74,344
2023-03-31,4,3,31,0,0,94,58,350
2023-04-01,5,4,1,1,1,111,63,409
2023-04-02,6,4,2,1,1,117,50,402
2023-04-03,0,4,3,0,1,116,45,352
2023-04-04,1,4,4,0,0,93,63,364
2023-04-05,2,4,5,0,0,115,31,262
2023-04-06,3,4,6,0,0,91,63,361
2023-04-07,4,4,7,0,0,93,59,344
2023-04-08,5,4,8,1,0,98,69,327
2023-04-09,6,4,9,1,0,100,58,327
2023-04-10,0,4,10,0,0,104,47,279
2023-04-11,1,4,11,0,0,104,39,284
2023-04-12,2,4,12,0,0,107,38,274
2023-04-13,3,4,13,0,0,103,45,253
2023-04-14,4,4,14,0,1,94,78,424
2023-04-15,5,4,15,1,0,87,87,396
