Sample_ID,Soil_Texture,pH_Level,Organic_Matter_Percent,Nitrogen_Content_ppm,Phosphorus_Content_ppm,Potassium_Content_ppm,Calcium_Content_ppm,Magnesium_Content_ppm,Sulfur_Content_ppm,Moisture_Content_Percent,Electrical_Conductivity_dS/m,Geographical_Region,Soil_Type
SOIL00001,Sandy,6.4,3.95,33,14,172,346,254,84,26.32,0.15,South,Light Soil
SOIL00002,Loamy,7.85,6.57,6,36,97,521,19,50,11.22,1.22,South,Neutral Soil
SOIL00003,Peaty,4.94,2.96,17,32,74,1164,424,95,8.17,1.36,South,Acidic Soil
SOIL00004,Peaty,8.47,3.76,40,34,152,1874,418,76,12.05,0.81,Central,Alkaline Soil
SOIL00005,Sandy,6.36,1.57,5,11,186,160,193,92,29.19,2.0,North,Light Soil
SOIL00006,Peaty,7.89,9.6,48,24,96,412,238,62,5.97,1.55,East,Neutral Soil
SOIL00007,Sandy,5.69,9.38,37,13,91,1900,86,13,15.46,1.41,North,Light Soil
SOIL00008,Chalky,8.93,8.73,43,19,160,232,136,19,22.04,0.25,East,Light Soil
SOIL00009,Silty,4.75,2.03,28,17,85,1672,14,8,22.37,2.37,Central,Acidic Soil
SOIL00010,Loamy,6.74,4.86,42,10,232,309,378,42,16.54,0.84,Central,Neutral Soil
SOIL00011,Clayey,8.36,5.22,35,5,78,847,73,27,18.23,2.38,West,Alkaline Soil
SOIL00012,Sandy,6.63,6.23,17,9,194,321,57,86,5.3,1.14,West,Light Soil
SOIL00013,Chalky,8.49,0.66,31,22,293,1245,188,23,27.86,2.16,North,Light Soil
SOIL00014,Chalky,8.94,1.52,35,39,154,1218,143,53,22.64,1.77,South,Light Soil
SOIL00015,Clayey,7.33,4.87,20,28,59,435,37,53,24.75,0.36,West,Neutral Soil
SOIL00016,Sandy,4.92,2.1,32,6,217,980,61,31,28.95,1.12,South,Light Soil
SOIL00017,Loamy,5.59,4.24,14,29,93,680,324,56,6.34,1.29,East,Neutral Soil
SOIL00018,Chalky,5.88,1.13,21,27,260,1691,234,52,21.81,1.9,South,Light Soil
SOIL00019,Silty,5.72,5.86,34,32,219,1837,51,27,12.28,1.09,North,Neutral Soil
SOIL00020,Peaty,7.44,2.0,36,8,142,1270,257,33,7.14,1.37,South,Neutral Soil
SOIL00021,Loamy,7.15,5.91,31,23,227,1638,457,87,29.38,0.22,West,Neutral Soil
SOIL00022,Peaty,7.98,1.64,19,19,205,1437,407,15,5.64,2.04,Central,Neutral Soil
SOIL00023,Loamy,8.9,7.0,35,24,51,1073,479,65,10.39,1.7,North,Alkaline Soil
SOIL00024,Silty,6.62,1.98,9,16,107,1183,462,94,7.21,0.63,Central,Neutral Soil
SOIL00025,Loamy,6.58,1.23,10,37,112,1433,50,91,8.14,1.88,North,Neutral Soil
SOIL00026,Silty,7.84,9.7,31,19,251,1047,399,26,14.71,1.43,East,Neutral Soil
SOIL00027,Peaty,7.65,3.04,8,30,229,669,499,43,22.34,0.4,East,Neutral Soil
SOIL00028,Loamy,7.24,2.11,33,33,265,1227,70,97,24.34,0.15,West,Neutral Soil
SOIL00029,Sandy,6.95,2.26,48,11,100,1871,267,32,6.09,1.53,Central,Light Soil
SOIL00030,Clayey,7.47,2.53,23,19,161,1571,372,53,24.52,2.2,East,Neutral Soil
SOIL00031,Clayey,6.2,9.64,46,24,91,428,494,34,13.25,1.14,North,Neutral Soil
SOIL00032,Clayey,6.97,4.24,25,39,69,810,313,41,18.53,1.11,North,Neutral Soil
