stock_symbol,sector,days_since_listing,avg_trading_volume,pe_ratio,market_sentiment,quarterly_growth_percent,gdp_growth_percent,inflation_rate_percent,recent_news_score,beta_value,forecast_price_inr
WIPRO,Banking,2906,586973.0,38.05,0.89,11.91,5.39,4.75,0.42,1.11,204.33
TCS,Energy,4866,1243868.0,25.78,-0.68,19.57,6.03,4.91,1.93,0.94,189.9
RELIANCE,Infrastructure,3686,1383937.0,12.54,0.48,8.73,8.67,6.18,-1.0,1.03,163.79
ICICIBANK,IT,4506,804741.0,17.57,-0.1,15.83,4.55,3.31,0.62,1.17,184.69
HDFCBANK,Infrastructure,4620,827764.0,13.57,-0.59,21.42,8.9,7.45,0.4,0.99,184.91
ICICIBANK,Energy,4791,436547.0,39.37,-0.64,4.3,8.96,5.35,1.56,1.19,209.46
SBIN,IT,1606,1127538.0,16.13,0.91,6.09,7.33,7.3,-1.26,1.23,175.97
SBIN,Infrastructure,2371,963955.0,37.12,0.26,6.23,5.6,6.63,-0.23,0.97,165.44
ITC,Finance,2987,1209618.0,21.85,-0.57,8.53,6.88,3.74,-0.56,1.19,190.7
SBIN,Energy,3015,832552.0,29.19,0.42,21.07,7.87,5.58,-1.57,0.96,208.97
ICICIBANK,Infrastructure,1982,1175567.0,14.27,0.1,17.66,8.0,3.67,-1.75,1.14,201.75
RELIANCE,Infrastructure,1219,1139747.0,21.32,-0.41,-2.47,5.87,6.4,1.87,1.05,151.41
RELIANCE,Finance,1365,1533385.0,35.25,-0.24,14.9,6.45,4.89,-1.22,0.95,241.98
SBIN,Infrastructure,101,658433.0,23.51,-0.63,-2.46,8.81,5.93,1.18,1.28,163.09
ITC,Finance,1829,1251775.0,24.47,0.78,5.2,4.68,6.76,0.28,1.2,167.8
INFY,Energy,288,1238392.0,36.6,-0.0,28.22,6.48,3.35,-0.13,1.54,282.38
ITC,Infrastructure,4936,1377631.0,8.19,-0.36,14.43,8.73,6.52,-0.42,1.18,163.69
ICICIBANK,Energy,217,765004.0,13.85,0.94,20.35,7.8,3.32,-0.39,0.96,213.14
WIPRO,Banking,4674,1005588.0,8.89,-0.61,8.59,5.71,4.03,-0.67,0.65,152.08
ICICIBANK,IT,416,1291236.0,13.32,0.61,4.18,4.54,5.21,-1.84,1.28,167.27
ICICIBANK,Energy,1765,941375.0,22.68,-0.7,-8.8,3.25,5.11,0.49,0.88,133.46
RELIANCE,Banking,2740,879079.0,20.39,-0.69,15.8,8.39,6.37,1.86,1.12,205.86
INFY,IT,4780,1179484.0,22.1,0.09,17.33,3.67,4.93,1.53,1.01,196.32
ICICIBANK,Infrastructure,4156,1219867.0,17.03,-0.85,-7.02,5.56,5.2,-1.44,0.99,120.75
LT,Infrastructure,881,1095411.0,32.64,0.34,-6.33,5.07,5.41,0.63,0.98,157.43
WIPRO,Banking,1573,869609.0,34.91,0.55,-8.94,5.09,4.57,0.38,1.17,163.09
RELIANCE,Energy,4494,1115416.0,20.8,0.69,15.88,6.44,7.55,0.22,1.17,183.31
SBIN,Energy,3143,1170664.0,15.44,-0.5,-5.35,8.18,5.03,1.98,0.79,99.56
HDFCBANK,Energy,2211,979129.0,10.24,0.57,7.28,7.99,6.21,0.09,1.28,205.12
WIPRO,Infrastructure,1260,748808.0,30.8,1.0,11.55,6.22,6.05,-1.1,0.98,217.07
LT,Energy,1404,654063.0,22.07,0.85,14.62,5.72,4.3,1.02,1.07,187.5
TCS,Finance,666,759351.0,19.0,0.88,-5.55,6.6,4.18,0.12,1.32,149.78
ICICIBANK,IT,4319,918450.0,25.15,0.82,0.09,3.69,3.92,1.8,0.98,179.08
ADANIENT,Finance,1588,1203179.0,11.77,-0.75,28.78,3.4,6.02,1.83,1.04,172.24
RELIANCE,Finance,2662,677976.0,23.0,-0.85,28.73,6.15,5.17,1.62,1.04,204.46
TCS,Energy,1793,955301.0,28.65,-0.84,0.61,5.7,5.52,-1.52,0.97,180.79
HDFCBANK,Infrastructure,3485,861639.0,9.21,0.46,24.82,4.29,4.5,1.76,1.16,178.53
ITC,Banking,3560,269907.0,20.14,-0.7,18.23,3.91,7.59,0.72,0.99,168.48
ITC,Energy,1947,1203448.0,35.87,-0.93,-9.0,4.55,6.15,1.41,0.5,166.89
ADANIENT,Infrastructure,4201,741233.0,13.13,0.21,28.86,3.65,5.38,-0.71,1.07,179.82
ITC,IT,2031,736187.0,34.47,-0.66,23.66,7.29,7.52,0.5,1.04,208.2
SBIN,Finance,4444,491013.0,26.81,0.28,7.08,3.35,7.33,-0.6,1.09,152.28
RELIANCE,Banking,1268,1270371.0,6.61,-0.33,-6.56,5.9,4.75,0.94,1.12,117.1
INFY,Banking,3845,1321067.0,40.58,-0.75,7.49,3.85,4.63,-1.59,1.09,162.73
ITC,Finance,1509,1334396.0,28.22,0.57,18.97,7.97,3.43,1.51,0.79,252.96
WIPRO,Infrastructure,3199,1027977.0,23.48,0.32,8.91,3.91,4.16,-0.18,1.25,180.6
INFY,Finance,4737,888660.0,40.89,0.2,-4.08,4.29,3.48,1.88,1.07,182.02
WIPRO,IT,4276,1027185.0,24.3,0.66,-2.56,7.62,4.97,-0.88,1.22,142.44
ICICIBANK,Banking,1790,976856.0,33.4,-0.23,16.38,3.61,3.79,1.61,0.79,155.37
WIPRO,IT,530,1008554.0,51.25,-0.94,21.66,7.03,5.72,1.39,1.08,275.55
INFY,Infrastructure,730,865352.0,53.71,-0.24,-1.42,8.62,7.65,1.99,0.64,228.73
LT,Energy,459,1189756.0,34.88,-0.38,18.53,3.23,6.16,-1.53,0.8,185.0
INFY,IT,798,1373589.0,31.32,0.33,18.97,5.37,7.61,-1.2,0.87,215.6
