car_make,car_model,year_of_manufacture,kms_driven,fuel_type,transmission,owner_type,engine_cc,mileage_kmpl,car_condition_score,estimated_price_in_inr
Maruti,Tiago,2018,47998.0,Petrol,Manual,First,866.0,22.36,4.42,417505.0
Honda,Innova,2021,42365.0,CNG,Manual,Second,1159.0,20.4,9.66,505652.0
Tata,Innova,2021,46442.0,CNG,Manual,First,1796.0,16.94,9.78,499572.0
Tata,EcoSport,2019,41307.0,Petrol,Manual,Second,1303.0,14.88,5.67,456022.0
Maruti,EcoSport,2015,104373.0,CNG,Manual,First,1431.0,18.75,4.49,400376.0
Tata,Tiago,2020,25566.0,Diesel,Manual,First,800.0,20.71,8.76,545648.0
Mahindra,Alto,2015,65825.0,CNG,Manual,Second,800.0,20.87,4.96,408926.0
Maruti,i20,2019,92691.0,CNG,Manual,First,1212.0,8.0,5.22,436903.0
Ford,City,2015,43914.0,Diesel,Manual,Third+,800.0,18.96,4.14,380336.0
Toyota,EcoSport,2021,29080.0,Petrol,Manual,Second,1009.0,25.35,5.64,512272.0
Honda,Alto,2016,96450.0,Diesel,Manual,First,1175.0,14.68,1.21,341032.0
Hyundai,Swift,2019,113092.0,Electric,Manual,First,970.0,17.53,2.51,415177.0
Maruti,Alto,2016,82130.0,CNG,Manual,First,1568.0,15.21,3.45,415502.0
Ford,Scorpio,2016,22637.0,Diesel,Manual,Third+,953.0,14.01,8.44,471683.0
Ford,i20,2015,24661.0,CNG,Manual,First,800.0,13.76,4.07,358606.0
Hyundai,Innova,2017,71447.0,Electric,Manual,First,1273.0,25.67,8.05,474264.0
Maruti,City,2016,52674.0,CNG,Manual,Second,1320.0,17.43,7.34,473248.0
Honda,Nexon,2015,81693.0,Electric,Manual,First,1020.0,18.29,4.07,403171.0
Ford,City,2021,89547.0,Petrol,Automatic,First,1406.0,15.65,8.31,526001.0
Mahindra,i20,2016,101541.0,Petrol,Manual,Third+,2103.0,11.94,6.95,371012.0
Toyota,Nexon,2020,79796.0,CNG,Automatic,First,1633.0,10.76,1.1,467178.0
Tata,Innova,2016,49151.0,Diesel,Manual,First,1731.0,17.79,1.1,355155.0
Honda,Innova,2021,13617.0,Petrol,Automatic,First,1764.0,22.24,6.29,573453.0
Tata,Nexon,2016,84144.0,Petrol,Automatic,Third+,1697.0,11.72,7.42,416092.0
Honda,Swift,2017,98214.0,CNG,Manual,Second,1824.0,19.39,9.01,408182.0
Toyota,Swift,2016,48101.0,Diesel,Manual,First,1235.0,16.01,8.65,439305.0
Honda,i20,2015,105066.0,Petrol,Manual,First,1086.0,15.85,8.87,408651.0
Toyota,Innova,2020,33509.0,Petrol,Manual,First,1674.0,20.35,4.17,470380.0
Tata,Swift,2021,49992.0,Diesel,Manual,First,800.0,15.54,7.74,527548.0
Honda,EcoSport,2021,60797.0,Petrol,Manual,Second,800.0,16.01,1.45,463756.0
Maruti,Tiago,2020,43534.0,Diesel,Manual,Second,800.0,17.97,4.83,490326.0
Hyundai,i20,2019,72994.0,Diesel,Manual,First,1482.0,15.57,8.24,506183.0
Mahindra,EcoSport,2015,46780.0,Petrol,Manual,Second,800.0,16.88,6.87,403805.0
Hyundai,Innova,2020,74256.0,Electric,Automatic,First,937.0,12.07,4.4,515370.0
Mahindra,EcoSport,2021,59314.0,Petrol,Manual,First,849.0,24.5,1.33,461946.0
Hyundai,EcoSport,2017,37242.0,CNG,Manual,Second,2005.0,11.74,8.44,450877.0
Mahindra,Scorpio,2015,62410.0,Diesel,Manual,Second,929.0,17.2,5.64,419918.0
Toyota,Swift,2015,37176.0,Diesel,Manual,First,1155.0,25.71,5.89,373087.0
Maruti,Swift,2021,43395.0,Electric,Manual,Second,1356.0,22.68,6.61,580865.0
Honda,EcoSport,2019,20113.0,CNG,Manual,Second,944.0,12.99,6.94,520771.0
Hyundai,Innova,2016,45439.0,Petrol,Automatic,Second,945.0,10.82,7.87,456350.0
Ford,Innova,2018,99623.0,Petrol,Manual,First,1689.0,13.21,3.2,459120.0
Mahindra,Alto,2019,63496.0,Petrol,Manual,Third+,887.0,20.31,9.64,505199.0
Mahindra,Innova,2018,25536.0,Diesel,Manual,Second,935.0,24.19,9.55,490345.0
Tata,Alto,2018,65999.0,CNG,Manual,First,1152.0,14.12,5.63,449852.0
Hyundai,City,2019,95408.0,Electric,Manual,Second,836.0,19.45,4.85,471948.0
Mahindra,Swift,2016,38105.0,Diesel,Manual,First,879.0,17.15,1.35,355212.0
Maruti,Alto,2021,101857.0,Diesel,Manual,First,1350.0,22.82,2.53,405468.0
Ford,Alto,2016,62309.0,Petrol,Manual,Second,1664.0,11.65,1.37,378634.0
Hyundai,Swift,2018,48545.0,Petrol,Manual,Second,1113.0,18.66,3.94,417160.0
Toyota,City,2016,53493.0,Diesel,Manual,First,800.0,14.13,4.75,362245.0
Maruti,Scorpio,2017,46757.0,CNG,Manual,Second,800.0,15.82,2.28,461093.0
Hyundai,Nexon,2019,27238.0,Diesel,Manual,First,1102.0,12.71,8.8,534790.0
Toyota,Nexon,2015,68120.0,Electric,Manual,First,800.0,12.3,9.46,506748.0
Toyota,Innova,2018,76593.0,CNG,Automatic,First,2136.0,20.53,5.89,434648.0
