Claim Amount,Policy Age (Years),Previous Claims,Accident Severity,Vehicle Age (Years),Claim Time,"Witness Present (0=No, 1=Yes)",Repair Cost,"Fraudulent Claim (1=Yes, 0=No)"
34673.99,3,0,Low,8,Weekday,1,27899.37,0
37747.8,2,0,Low,5,Weekday,1,23254.6,0
82282.94,7,0,Low,2,Weekend,0,46270.94,0
51784.04,15,2,Low,2,Holiday,0,39562.54,0
53178.99,13,1,Medium,5,Weekday,1,31897.49,0
60925.19,1,0,Low,4,Weekday,1,27217.93,0
62100.38,8,1,Medium,2,Weekday,1,35240.61,0
60538.03,1,1,Low,1,Weekday,1,57244.37,0
32342.16,13,3,Low,5,Weekend,1,15367.99,0
22110.65,10,1,Low,3,Weekday,1,18613.24,0
22515.82,18,0,Low,9,Weekday,1,17934.09,0
63210.35,11,0,Medium,12,Weekday,1,53027.55,0
39663.33,9,2,Medium,6,Weekend,1,34413.09,0
62463.52,8,1,Low,3,Holiday,1,36053.07,0
56121.89,19,1,Low,5,Weekday,1,22525.95,0
23366.18,15,1,High,0,Weekday,1,18654.54,0
36702.17,19,0,Low,11,Weekend,1,32238.41,0
51203.55,13,2,Low,0,Weekday,1,23568.83,0
55198.67,19,0,Low,9,Weekend,0,34147.79,0
63554.58,1,0,High,13,Weekday,1,60736.06,0
61852.9,18,0,Low,2,Weekday,1,47641.09,0
36707.82,4,0,Medium,5,Holiday,0,24748.73,0
43676.2,10,1,Low,9,Weekday,1,30839.93,0
26544.1,8,2,Medium,2,Holiday,1,21926.1,0
59085.03,14,2,High,0,Weekday,1,42335.8,0
55309.61,13,0,Medium,6,Weekday,1,36756.23,0
56238.08,4,1,Low,11,Weekday,1,25348.29,0
56617.71,0,1,Medium,2,Weekend,1,30028.87,0
50814.78,2,1,Medium,3,Weekday,1,29543.7,0
54442.97,18,1,Medium,2,Holiday,1,42409.97,0
47957.2,6,2,Low,1,Weekday,1,31476.65,0
46373.13,5,1,Medium,7,Weekday,1,42523.08,0
64907.84,17,0,Low,9,Weekday,0,64129.1,0
45395.78,10,1,Medium,0,Weekday,1,37844.36,0
53046.56,0,0,High,13,Weekend,1,22997.69,0
53033.29,4,0,Low,5,Weekday,1,29454.49,0
37753.29,2,0,Medium,6,Weekday,1,24307.14,0
8817.21,17,0,Low,6,Weekend,1,8791.12,0
